Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Eagles,48,145,3,0,6,12.5
Cowboys,74,394,5.3,2,18,24.3
Ravens,73,277,3.8,0,15,20.6
Browns,56,156,2.8,0,5,8.9
49ers,43,159,3.7,2,14,32.6
Dolphins,85,390,4.6,4,29,34.1
Lions,68,216,3.2,2,16,23.5
Falcons,84,353,4.2,1,18,21.4
Bills,56,332,5.9,0,12,21.4
Patriots,77,280,3.6,3,17,22.1
Colts,98,343,3.5,4,24,24.5
Cardinals,88,404,4.6,3,29,33
Buccaneers,73,309,4.2,2,19,26
Chiefs,78,308,4,1,15,19.2
Saints,67,299,4.5,1,14,20.9
Jaguars,74,252,3.4,2,15,20.3
Packers,96,410,4.3,2,28,29.2
Chargers,78,341,4.4,3,22,28.2
Seahawks,81,238,2.9,5,16,19.8
Texans,82,352,4.3,7,21,25.6
Rams,69,311,4.5,4,16,23.2
Bears,103,365,3.5,4,25,24.3
Titans,79,208,2.6,1,13,16.5
Giants,98,414,4.2,6,26,26.5
Jets,106,388,3.7,0,24,22.6
Panthers,92,410,4.5,6,27,29.4
Broncos,95,533,5.6,7,28,29.5
Commanders,81,386,4.8,3,24,29.6
Raiders,88,382,4.3,2,20,22.7
Steelers,88,455,5.2,2,19,21.6
Bengals,90,455,5.1,2,25,27.8
Vikings,96,362,3.8,3,26,27.1
