Player,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Dan Marino,4434,7.3,606,354,58.4,28,23,80.8,212,35,56,8,80,6,31
Jim Everett,3964,7.7,517,308,59.6,31,18,89.2,200,38.7,47,12,69,28,197
Randall Cunningham,3808,6.8,560,301,53.8,24,16,77.6,174,31.1,47,10,80,57,442
Boomer Esiason,3572,9.2,388,223,57.5,28,14,97.4,164,42.3,63,11,86,30,245
Neil Lomax,3395,7.7,443,255,57.6,20,11,86.7,154,34.8,52,8,93,46,315
Jim Kelly,3380,7.5,452,269,59.5,15,17,78.2,160,35.4,48,4,66,30,229
Phil Simms,3359,7,479,263,54.9,21,11,82.1,157,32.8,42,3,62,53,405
John Elway,3309,6.7,496,274,55.2,17,19,71.4,171,34.5,40,5,86,30,237
Vinny Testaverde,3240,7,466,222,47.6,13,35,48.8,156,33.5,57,4,59,33,292
Bobby Hebert,3156,6.6,478,280,58.6,20,15,79.3,173,36.2,33,2,40,24,171
Steve Pelluer,3139,7.2,435,245,56.3,17,19,73.9,148,34,44,6,61,21,112
Joe Montana,2981,7.5,397,238,60,18,10,88,131,33,30,9,96,34,223
Steve DeBerg,2935,7.1,414,224,54.1,16,16,73.5,132,31.9,41,8,80,30,246
Wade Wilson,2746,8.3,332,204,61.4,15,9,91.5,124,37.4,34,9,68,33,227
Bubby Brister,2634,7.1,370,175,47.3,11,14,65.3,117,31.6,45,11,89,36,292
Doug Williams,2609,6.9,380,213,56,15,12,77.4,120,31.6,36,9,58,10,88
Ken O'Brien,2567,6,424,236,55.7,15,7,78.6,140,33,24,4,50,37,267
Warren Moon,2327,7.9,294,160,54.4,17,8,88.4,110,37.4,38,7,57,12,120
Chris Miller,2133,6.1,351,184,52.4,11,12,67.3,102,29.1,28,5,68,24,207
Don Majkowski,2119,6.3,336,178,53,9,11,67.8,107,31.8,24,4,56,31,176
Bernie Kosar,1890,7.3,259,156,60.2,10,7,84.3,84,32.4,21,3,77,25,172
Jay Schroeder,1839,7.2,256,113,44.1,13,13,64.6,70,27.3,30,13,85,19,178
Dave Krieg,1741,7.6,228,134,58.8,18,8,94.6,84,36.8,24,4,75,12,92
Mark Rypien,1730,8.3,208,114,54.8,18,13,85.2,83,39.9,26,8,60,14,115
