Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Tony Zendejas,89,5358,1347,21,23.6,67,20.1,0,0,1,1
Mike Lansford,88,4922,1563,3,3.4,81,19.3,0,0,2,1
Chuck Nelson,85,4907,1600,2,2.4,80,20,0,0,3,0
Pat Leahy,83,4914,1496,10,12,70,21.4,0,0,2,0
Mike Cofer,82,4805,1336,7,8.5,72,18.6,0,0,3,0
Gary Anderson,80,4773,1339,15,18.8,62,21.6,0,2,0,1
Scott Norwood,80,4352,1117,5,6.2,69,16.2,0,0,5,0
Norm Johnson,78,4702,1195,11,14.1,65,18.4,0,0,1,0
Rich Karlis,77,4373,1020,19,24.7,51,20,0,1,2,0
Chip Lohmiller,77,4488,1099,15,19.5,60,18.3,0,0,0,0
Lee Johnson,76,4654,1176,22,29,52,22.6,0,0,2,0
Morten Andersen,73,4641,823,29,39.7,43,19.1,0,0,0,0
Chris Bahr,73,4235,1274,10,13.7,60,21.2,0,1,0,0
Al Del Greco,72,4019,1320,6,8.3,62,21.3,0,1,0,1
Luis Zendejas,70,4154,1058,15,21.4,49,21.6,0,0,6,0
Dean Biasucci,66,3938,1283,8,12.1,57,22.5,0,0,1,1
Kevin Butler,66,3823,1104,9,13.6,54,20.4,0,0,2,0
Nick Lowery,66,3874,1380,7,10.6,57,24.2,0,0,1,2
Matt Bahr,62,3538,850,9,14.5,51,16.7,0,0,2,0
Greg Davis,59,3458,972,8,13.6,47,20.7,0,0,3,0
Eddie Murray,59,3343,1062,1,1.7,55,19.3,0,0,2,0
Teddy Garcia,58,3538,898,13,22.4,44,20.4,0,0,1,0
Paul McFadden,53,2852,773,2,3.8,49,15.8,0,0,1,0
Roger Ruzek,53,2909,865,2,3.8,47,18.4,0,1,1,0
Donald Igwebuike,49,2891,923,8,16.3,39,23.7,0,0,0,0
Fuad Reveiz,48,2841,704,10,20.8,34,20.7,0,0,1,0
Max Zendejas,36,2143,660,2,5.6,33,20,0,0,1,0
Vince Abbott,31,1829,449,6,19.4,23,19.5,0,0,1,0
Raul Allegre,29,1683,496,2,6.9,24,20.7,0,0,2,0
Steve DeLine,23,1362,471,2,8.7,21,22.4,0,0,0,0
Jim Breech,19,1045,243,4,21,13,18.7,0,0,2,0
Dean Dorsey,18,970,275,0,0,17,16.2,0,0,0,0
Tony Franklin,17,1015,360,0,0,17,21.2,0,0,0,0
John Carney,13,646,197,0,0,12,16.4,0,0,1,0
Dale Dawson,13,675,230,1,7.7,10,23,0,1,0,0
Kerry Brady,9,495,130,3,33.3,6,21.7,0,0,0,0
Don Bracken,7,337,90,0,0,5,18,0,0,0,0
Curtis Burrow,5,280,65,1,20,4,16.2,0,0,0,0
Jess Atkinson,4,221,67,0,0,4,16.8,0,0,0,0
Ralf Mojsiejenko,4,242,135,1,25,3,45,0,0,0,1
Scott Fulhage,3,161,39,0,0,3,13,0,0,0,0
Reggie Roby,3,143,45,0,0,2,22.5,0,0,1,0
Ray Criswell,2,51,9,0,0,1,9,0,0,0,0
Greg Horne,2,124,47,0,0,2,23.5,0,0,0,0
Greg Montgomery,2,122,16,0,0,2,8,0,0,0,0
Mike Saxon,2,96,29,0,0,2,14.5,0,0,0,0
Bryan Wagner,2,100,26,0,0,2,13,0,0,0,0
Jim Arnold,1,61,14,0,0,1,14,0,0,0,0
Tommy Barnhardt,1,48,18,0,0,1,18,0,0,0,0
Rick Donnelly,1,53,10,0,0,1,10,0,0,0,0
Jeff Feagles,1,51,0,0,0,1,0,0,0,0,0
Jeff Gossett,1,63,25,0,0,1,25,0,0,0,0
Leonard Harris,1,65,0,1,100,0,0,0,0,0,0
Mike Horan,1,70,15,0,0,1,15,0,0,0,0
Harry Newsome,1,45,12,0,0,1,12,0,0,0,0
Max Runager,1,55,26,0,0,1,26,0,0,0,0
Bucky Scribner,1,60,22,0,0,1,22,0,0,0,0
John Teltschik,1,44,10,0,0,1,10,0,0,0,0
