Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Scott Norwood,32,37,86.5,1/1,10/10,15/16,6/9,0/0,0/0,49,0
Gary Anderson,28,36,77.8,1/1,11/11,9/10,6/12,0/0,0/0,52,3
Mike Cofer,27,38,71,1/1,9/10,9/11,7/11,0/0,0/0,52,1
Nick Lowery,27,32,84.4,0/0,7/8,9/11,8/10,0/0,0/0,51,1
Morten Andersen,26,36,72.2,1/1,11/12,8/11,5/8,0/0,0/0,51,1
Dean Biasucci,25,32,78.1,0/0,8/8,5/6,6/10,0/0,0/0,53,1
Matt Bahr,24,29,82.8,1/1,10/12,8/10,5/6,0/0,0/0,47,2
Mike Lansford,24,32,75,1/1,9/12,8/10,6/8,0/0,0/0,49,2
Rich Karlis,23,36,63.9,1/1,9/10,6/13,5/8,0/0,0/0,51,0
Pat Leahy,23,28,82.1,0/0,9/9,7/8,7/10,0/0,0/0,48,2
Norm Johnson,22,28,78.6,1/1,4/4,7/9,10/14,0/0,0/0,47,1
Tony Zendejas,22,34,64.7,1/1,3/5,7/8,9/16,0/0,0/0,52,1
Eddie Murray,20,21,95.2,1/1,8/8,9/9,2/2,0/0,0/0,48,0
Chuck Nelson,20,25,80,2/3,7/7,10/10,1/5,0/0,0/0,49,1
Luis Zendejas,20,27,74.1,2/2,6/6,7/9,4/7,0/0,0/0,50,1
Greg Davis,19,30,63.3,1/1,3/4,6/9,8/12,0/0,0/0,52,5
Donald Igwebuike,19,25,76,1/1,6/6,7/8,3/6,0/0,0/0,53,0
Chip Lohmiller,19,26,73.1,1/1,6/8,5/7,7/10,0/0,0/0,46,0
Chris Bahr,18,29,62.1,1/1,7/7,3/6,6/11,0/0,0/0,50,1
Kevin Butler,15,19,79,1/1,4/4,7/8,3/6,0/0,0/0,45,0
Paul McFadden,14,19,73.7,0/0,4/4,4/6,5/6,0/0,0/0,50,0
Al Del Greco,12,21,57.1,1/1,4/6,3/3,3/9,0/0,0/0,51,0
Roger Ruzek,12,22,54.6,0/0,4/5,4/7,3/7,0/0,0/0,50,1
Jim Breech,11,16,68.8,1/1,5/5,3/4,2/5,0/0,0/0,45,1
Raul Allegre,10,11,90.9,0/0,3/3,5/6,2/2,0/0,0/0,48,0
Max Zendejas,9,16,56.2,0/0,2/3,4/5,2/6,0/0,0/0,50,1
Vince Abbott,8,12,66.7,0/0,3/3,2/4,3/5,0/0,0/0,48,1
Fuad Reveiz,8,12,66.7,0/0,4/4,3/4,1/2,0/0,0/0,45,0
Jason Staurovsky,7,11,63.6,0/0,3/4,4/5,0/2,0/0,0/0,35,0
Steve DeLine,6,8,75,0/0,3/3,1/1,2/4,0/0,0/0,45,0
Teddy Garcia,6,13,46.2,0/0,2/3,1/3,2/5,0/0,0/0,50,1
Dean Dorsey,5,10,50,0/0,4/4,1/2,0/4,0/0,0/0,34,0
Tony Franklin,4,11,36.4,0/0,1/2,2/4,0/1,0/0,0/0,51,0
Dale Dawson,3,6,50,0/0,2/3,1/2,0/1,0/0,0/0,32,0
John Carney,2,5,40,0/0,2/3,0/1,0/1,0/0,0/0,29,2
Lee Johnson,1,2,50,0/0,0/0,0/0,0/0,0/0,0/0,50,0
Curtis Burrow,0,1,0,0/0,0/0,0/0,0/1,0/0,0/0,0,1
Ray Criswell,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
