Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Randall Cunningham,55.7,49.7,149,3,58,167,0,1,0,0,0,2,18,0,0
Harry Newsome,45.4,35.9,2332,71,62,2950,9,2,4,10,9,40,418,0,6
Ralf Mojsiejenko,44.1,34.9,2967,86,62,3745,22,0,13,11,5,56,558,0,1
Mike Horan,44,37.8,2457,65,70,2861,19,16,10,2,4,33,364,1,0
Rohn Stark,43.5,34.5,2206,64,65,2784,15,2,14,8,3,37,418,1,0
Reggie Roby,43,35.2,2256,64,64,2754,18,3,7,9,10,35,318,0,0
Jim Arnold,42.4,36,3487,97,69,4110,22,5,9,7,19,57,483,1,0
Tommy Barnhardt,41.9,34.3,514,15,55,628,1,0,2,2,2,9,74,0,0
Jeff Gossett,41.8,35.7,3247,91,58,3804,27,2,15,8,19,47,397,0,0
Bryan Wagner,41.5,33.4,2635,79,70,3282,18,10,10,10,9,40,447,0,0
Maury Buford,41.3,34.5,2516,75,66,3012,13,8,8,10,11,36,296,0,2
Mike Saxon,40.9,34.2,2732,80,55,3271,24,3,10,15,15,37,239,0,0
Greg Horne,40.9,33.3,2632,80,66,3228,16,11,7,9,11,41,416,1,1
Ruben Rodriguez,40.8,36.8,2576,70,68,2858,14,6,10,4,14,36,202,0,0
Brian Hansen,40.5,34.8,2505,73,64,2913,19,2,7,8,16,39,248,0,1
John Teltschik,40.4,34.9,3423,101,70,3958,28,7,11,8,27,45,375,0,3
Bucky Scribner,40.3,33.4,2802,86,55,3387,23,13,10,9,13,39,405,0,2
Kelly Goodburn,40.2,31.9,2426,76,59,3059,10,9,8,8,3,48,473,0,0
Rick Donnelly,40,35.7,3503,98,61,3920,27,5,13,6,23,51,297,0,0
Max Runager,40,35.1,1718,51,52,1959,13,5,7,2,10,25,201,0,2
Lee Johnson,39.9,33.4,1034,31,61,1237,10,5,6,2,3,15,163,1,0
Dale Hatcher,39.6,33.4,1202,36,54,1424,13,2,3,1,13,17,202,0,0
John Kidd,39.5,35.3,2189,62,60,2451,13,3,11,2,10,36,222,0,0
Rich Camarillo,39.5,34.8,1394,40,57,1579,11,2,2,2,8,26,145,0,0
Barry Helton,39.4,32.6,2543,79,53,3069,22,8,8,5,10,47,426,0,1
John Elway,39,39,117,3,40,117,2,0,3,0,0,0,0,0,0
Joe Prokop,38.9,34.2,2909,85,64,3310,26,14,18,10,9,34,201,0,0
Greg Montgomery,38.8,34.1,2217,65,61,2523,12,10,6,5,9,35,206,0,0
Don Bracken,38.7,32.2,2733,86,62,3287,20,9,11,12,14,39,314,0,1
Greg Coleman,38.6,29.2,1140,39,53,1505,8,0,8,3,4,24,305,1,0
Jeff Feagles,38.3,34.1,3105,91,74,3482,24,4,25,8,17,37,217,0,0
Scott Fulhage,38,30.7,1352,46,53,1672,13,6,4,5,5,24,220,0,2
Sean Landeta,37,35.8,215,6,53,222,1,3,1,0,0,2,7,0,0
Steve Cox,36.8,26.2,157,7,55,221,0,0,2,1,0,3,44,0,1
Ray Criswell,36.4,32.4,2204,68,62,2477,20,2,15,0,13,38,273,0,0
Chip Lohmiller,34.7,30.5,183,6,42,208,1,1,1,0,1,3,25,0,0
Jim Breech,21.3,14.7,44,3,30,64,1,2,0,1,0,0,0,0,0
Boomer Esiason,21,21,21,1,21,21,0,1,0,0,0,0,0,0,0
