Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Pat Beach,35,1,35,0,1,0,35,0,0
Curtis Duncan,34,1,34,0,1,0,34,0,0
Norman Jefferson,29,4,116,0,3,2,46,0,2
Vance Johnson,28,1,28,0,1,0,28,0,0
Stephen Braggs,27,1,27,0,1,0,27,0,0
Tim Brown,26.8,41,1098,1,24,5,97,0,0
Kenny Johnson,26.2,6,157,0,4,1,56,0,0
Jamie Holland,26.1,31,810,1,23,2,94,0,1
Anthony Miller,25.9,25,648,1,17,3,93,0,1
Cedric Mack,25,1,25,0,1,0,25,0,0
Butch Woolfolk,24.8,4,99,0,2,1,46,0,1
Lorenzo White,24.5,8,196,1,2,1,90,0,0
Bobby Humphery,24.3,21,510,0,13,2,48,0,0
Lorenzo Hampton,24,9,216,0,7,0,37,0,0
Derrick McAdoo,23.9,13,311,0,10,0,32,0,0
Robert Delpino,23.8,14,333,0,8,0,38,0,0
Sammy Martin,23.7,31,735,1,20,2,95,0,0
Lew Barnes,23.7,6,142,0,4,0,36,0,1
Darrin Nelson,23.3,9,210,0,7,0,30,0,0
Rod Woodson,23,37,850,1,20,2,92,0,1
Donnie Elder,22.7,34,772,0,18,2,51,0,0
Ronnie Harmon,22.6,11,249,0,9,0,37,0,1
Bobby Joe Edmonds,22.5,40,900,0,25,2,65,0,1
Cornell Burbage,22.4,20,448,0,13,1,53,0,1
Carl Bland,22.4,8,179,0,5,0,29,0,0
Stump Mitchell,22.1,10,221,0,5,1,41,0,0
Terry Wright,22,1,22,0,1,0,22,0,0
Glen Young,21.9,29,635,0,17,0,34,0,0
Marvin Allen,21.7,18,391,0,12,0,30,0,0
Darryl Clack,21.6,32,690,0,19,1,40,0,0
Dennis Gentry,21.4,27,578,0,15,2,51,0,1
Stanford Jennings,21.4,32,684,1,11,1,98,0,1
Darryl Harris,21.4,39,833,0,26,0,30,0,1
Gene Atkins,21.2,20,424,0,11,1,57,0,1
Ken Bell,21.2,36,762,0,22,0,38,0,2
Ron Brown,21.1,19,401,0,6,2,73,0,1
Joe Cribbs,21,41,863,0,26,1,44,0,1
Dwight Stone,21,29,610,1,13,2,92,0,1
D.J. Dozier,21,5,105,0,4,0,27,0,0
Mel Gray,20.9,32,670,0,15,0,39,0,1
Don Smith,20.9,9,188,0,4,0,30,0,0
Jason Johnson,20.9,14,292,0,7,0,34,0,1
Herman Fontenot,20.7,21,435,0,6,1,84,0,0
Clarence Verdin,20.7,7,145,0,3,0,32,0,0
Evan Cooper,20.7,16,331,0,8,0,28,0,0
Kevin Harmon,20.7,3,62,0,1,0,30,0,0
Ricky Nattiel,20.7,6,124,0,3,0,25,0,0
Erroll Tucker,20.7,15,310,0,8,0,30,0,0
Sheldon White,20.7,3,62,0,1,0,26,0,0
Vai Sikahema,20.6,23,475,0,11,0,39,0,1
Derrick Shepard,20.6,16,329,0,10,1,44,0,2
Ron Davenport,20.5,2,41,0,2,0,21,0,0
Wayne Haddix,20.5,6,123,0,3,0,24,0,1
Mickey Sutton,20.5,2,41,0,1,0,25,0,0
Carl Painter,20.4,17,347,0,10,0,32,0,1
Gaston Green,20.3,17,345,0,10,2,44,0,1
Neal Guggemos,20.2,17,344,0,10,1,40,0,2
Kenny Hill,20.2,13,262,0,8,0,30,0,2
Dave Hollis,20.1,13,261,0,6,0,35,0,0
