Player,Comb,Asst,Solo,Sck
Chris Spielman,132,12,109,0
Gary Plummer,115,12,84,0
Kyle Clifton,108,28,57,0
Dino Hackett,107,26,57,3
John Offerdahl,106,10,89,0.5
David Little,102,11,78,0
Tim Krumrie,101,15,72,3
Dennis Gibson,99,9,82,0.5
Tim McDonald,99,4,90,2
Johnny Rembert,99,5,84,3
Eugene Robinson,98,18,70,1
Mike Singletary,98,17,75,1
Jesse Solomon,98,21,62,2.5
Andre Waters,98,12,79,0.5
Mike Johnson,95,14,57,0
Fred Marion,95,17,75,0
Felix Wright,95,16,67,0
Eddie Anderson,94,15,61,0
Robert Moore,94,10,75,0
David Wyman,94,18,54,2.5
Joey Browner,93,20,57,0
Vaughan Johnson,93,8,77,2
Matt Millen,93,21,53,1
Troy Benson,92,27,49,2
Bennie Blades,91,2,82,1
Tim Harris,91,2,83,13.5
Sam Mills,91,13,76,0
Marty Lyons,89,16,51,7.5
Hardy Nickerson,89,9,66,3.5
Michael Walter,89,17,56,1
Cornelius Bennett,88,10,71,9.5
Ray Bentley,88,13,66,1
Deron Cherry,88,14,48,0
Bruce McNorton,88,6,79,0
Alvin Walton,88,2,85,1
Joel Williams,88,9,68,0
Rich Miano,87,15,55,0.5
Rod Woodson,86,4,78,0.5
Barry Krauss,85,13,58,0
Vencie Glenn,84,13,62,1
Eugene Marve,84,6,76,1.5
Russell Carter,82,15,55,2
Tim Cofield,82,21,41,3.5
Harry Hamilton,81,4,75,0
Jarvis Williams,81,2,74,0
Carl Ekern,80,11,58,0
David Fulcher,80,8,63,1.5
John Grimsley,80,10,52,1
Linden King,80,18,52,1
Jeff Fuller,79,8,62,1
Mike Harden,79,4,66,0
Scott Studwell,79,22,36,1
Aaron Pearson,78,19,44,0
Al Smith,78,26,40,0
Terry Kinard,77,7,61,0
Ed Reynolds,77,7,59,0
Brian Bosworth,76,16,44,0
Bob Golic,76,17,37,0.5
Melvin Jenkins,76,10,54,0
Pepper Johnson,76,10,59,4
Clay Matthews,76,11,59,6
Neal Olkewicz,76,4,65,2
Fredd Young,75,12,55,0
Todd Bowles,74,6,67,0
Tony Woods,74,16,39,5
Wes Hopkins,73,5,64,0
Robert Lyles,73,17,43,1.5
Bill Pickel,73,18,40,5
John Rade,73,15,47,2
Jack Del Rio,72,20,39,1
Rick Dennison,72,10,55,0.5
Mark Murphy,72,3,62,0
Jerry Robinson,72,12,39,2
Reggie White,72,8,60,18
Bill Bates,71,12,50,0.5
Duane Bickett,71,13,46,3.5
Rickey Jackson,71,3,62,7
Mike Prior,71,10,53,1
Mike Pitts,70,7,53,1.5
Jessie Tuggle,70,7,57,0
Riki Ellison,69,10,42,1
George Jamison,69,4,60,5.5
Seth Joyner,69,7,56,3.5
Brett Maxie,69,10,50,0
Brian Noble,69,7,59,0.5
