Player,FF,FR,FR TD
Johnny Meads,5,0,0
Lawrence Taylor,5,1,0
Mike Cofer,4,2,0
Kevin Greene,4,0,0
Wes Hopkins,4,1,0
Rickey Jackson,4,0,0
Roland James,4,1,0
Tim McDonald,4,1,0
Freddie Joe Nunn,4,2,0
Pat Swilling,4,1,0
Cornelius Bennett,3,3,0
Bennie Blades,3,4,0
Deron Cherry,3,6,0
Ray Childress,3,7,0
Mike Gann,3,2,1
Leonard Griffin,3,0,0
Tim Harris,3,0,0
Johnny Holland,3,1,0
Darin Jordan,3,3,0
Terry Kinard,3,0,0
Ronnie Lott,3,4,0
Bruce McNorton,3,4,0
Bill Romanowski,3,1,0
Henry Thomas,3,1,1
Leon White,3,1,0
Fredd Young,3,0,0
Tom Baldwin,2,0,0
Marion Barber,2,0,0
Martin Bayless,2,0,0
Mike Bell,2,1,0
Keith Bostic,2,2,0
Jim Bowman,2,0,0
Walt Bowyer,2,0,0
Aundray Bruce,2,1,0
Ravin Caldwell,2,0,0
Harry Carson,2,2,0
Carl Carter,2,0,0
Michael Carter,2,0,0
Bret Clark,2,1,0
Kyle Clifton,2,2,0
Tim Cofield,2,0,0
Marcus Cotton,2,0,0
Reuben Davis,2,0,0
Richard Dent,2,1,0
Hanford Dixon,2,1,0
Chris Doleman,2,0,0
Dave Duerson,2,0,0
Donnie Elder,2,0,0
Simon Fletcher,2,1,0
David Frye,2,0,0
Jumpy Geathers,2,3,0
Cornell Gowdy,2,0,0
Darryl Grant,2,1,0
David Grayson,2,0,0
Hugh Green,2,1,0
John Grimsley,2,1,0
Wymon Henderson,2,0,0
Liffort Hobley,2,1,1
Jim Jeffcoat,2,0,0
Melvin Jenkins,2,1,0
Ezra Johnson,2,0,0
Pepper Johnson,2,1,0
Joe Klecko,2,1,0
Tim Krumrie,2,3,0
Paul Lankford,2,0,0
Greg Lloyd,2,1,0
Kevin McArthur,2,0,0
Robert Moore,2,0,0
Kevin Murphy,2,1,0
Cliff Odom,2,1,0
John Offerdahl,2,1,0
Bill Pickel,2,1,0
Ricky Reynolds,2,0,0
Ed Reynolds,2,0,0
Larry Roberts,2,0,0
Mark Robinson,2,0,0
Rod Saddler,2,1,1
James Saxon,2,0,0
Eugene Seale,2,0,0
Jim Skow,2,0,0
Bruce Smith,2,0,0
Dennis Smith,2,2,0
Neil Smith,2,0,0
Michael Stewart,2,2,0
Art Still,2,1,0
Ken Stills,2,2,0
Scott Studwell,2,2,0
Darryl Talley,2,1,0
