Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Eric Dickerson,1659,388,14,5,2,41,106,27.3,4
Herschel Walker,1514,361,5,7,0,38,76,21,6
Roger Craig,1502,310,9,6,1,46,79,25.5,4
Greg Bell,1212,288,16,5,1,44,76,26.4,5
John Stephens,1168,297,4,5,1,52,61,20.5,3
Gary Anderson,1119,225,3,7,0,36,54,24,4
Neal Anderson,1106,249,12,7,4,80,56,22.5,7
Joe Morris,1083,307,5,3,0,27,63,20.5,7
Ickey Woods,1066,203,15,6,1,56,73,36,7
Curt Warner,1025,266,10,4,0,29,62,23.3,4
John Settle,1024,232,7,5,2,62,49,21.1,1
Mike Rozier,1002,251,10,2,0,28,62,24.7,7
Freeman McNeil,944,219,6,2,0,28,36,16.4,3
James Brooks,931,182,8,4,1,51,48,26.4,1
Earl Ferrell,924,202,7,4,1,47,56,27.7,7
Thurman Thomas,881,207,2,5,0,37,40,19.3,9
John L. Williams,877,189,4,4,1,44,53,28,0
Marcus Allen,831,223,7,4,0,32,55,24.7,3
Dalton Hilliard,823,204,5,4,0,36,52,25.5,3
Stump Mitchell,726,164,4,3,1,47,36,22,3
Merril Hoge,705,170,3,2,0,20,43,25.3,6
Tony Dorsett,703,181,5,3,0,26,36,19.9,6
Rueben Mayes,628,170,3,2,0,21,25,14.7,1
Randall Cunningham,624,93,6,4,0,33,42,45.2,6
Bo Jackson,580,136,3,3,0,25,28,20.6,4
Earnest Byner,576,157,3,3,0,27,30,19.1,5
Johnny Hector,561,137,10,0,0,19,50,36.5,3
Garry James,552,182,5,1,0,35,33,18.1,3
Sammy Winder,543,149,4,3,0,35,30,20.1,1
Roger Vick,540,128,3,0,0,17,25,19.5,4
Keith Byars,517,152,6,3,1,52,22,14.5,3
Allen Pinkett,513,122,7,2,0,27,30,24.6,2
Anthony Toney,502,139,4,1,0,20,25,18,1
Kelvin Bryant,498,108,1,1,0,25,25,23.2,2
