Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Eagles,13.5,35,471,2,8,3,85T,19,1
Bengals,11.8,40,474,0,4,2,60,19,2
Browns,11.7,39,456,1,5,3,67T,3,2
Buccaneers,11.6,40,462,1,4,1,77T,10,1
Patriots,11.4,38,432,0,4,2,69,19,2
Cowboys,10.9,39,426,2,6,2,82,23,5
Giants,10.9,36,393,1,4,1,79,18,2
Rams,10.7,37,395,0,6,1,56,14,5
Falcons,10,27,270,0,3,0,28,14,1
Texans,10,45,449,0,7,2,62,15,2
Broncos,9.5,44,419,1,4,1,71,16,1
Vikings,9.5,48,455,0,5,0,36,17,3
Jets,9.1,50,457,0,3,0,37,26,2
Jaguars,8.6,27,233,0,3,2,44T,7,3
Bears,8.5,39,330,1,6,1,49,7,3
Lions,8.3,28,233,0,1,1,43,15,3
Panthers,8.3,34,282,0,4,0,37T,11,4
Steelers,8.1,36,290,0,3,0,25,25,2
Seahawks,7.5,46,346,0,4,0,29,12,2
Ravens,7.4,39,290,0,3,0,34,18,3
Dolphins,7.2,33,237,0,1,0,22,13,4
Chargers,7,26,183,1,1,1,77T,13,3
Packers,6.9,34,236,0,2,1,45T,12,2
Cardinals,6.8,45,308,0,4,1,64T,13,4
Titans,6.7,33,220,0,0,0,18,22,5
Bills,6.6,33,218,0,4,0,31T,18,7
Chiefs,6.5,32,209,0,0,0,19,24,5
Colts,5.2,29,151,0,1,0,22,23,2
Raiders,4.9,36,177,0,0,0,19,23,6
Redskins,4.8,32,152,0,1,1,43,22,6
Saints,4.6,33,152,0,2,0,23T,17,2
Niners,4.4,49,216,0,0,0,18,13,8
