Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Eagles,32,86.5,43,95.6,0,2
Chargers,32,91.4,50,98,0,1
Broncos,30,85.7,32,100,1,1
Jets,30,83.3,32,100,1,0
Bills,28,84.8,24,100,0,0
Packers,27,75,48,98,0,0
Titans,27,84.4,37,100,0,0
Giants,27,84.4,45,100,0,1
Steelers,27,87.1,41,100,0,0
Raiders,26,89.7,17,100,0,0
Vikings,26,92.9,54,98.2,2,0
Patriots,26,83.9,47,100,0,0
Chiefs,25,86.2,29,100,1,0
Dolphins,25,89.3,37,97.4,2,0
Bears,24,85.7,33,100,1,1
Seahawks,24,92.3,28,100,0,0
Bengals,23,82.1,28,96.6,1,0
Browns,23,92,22,95.6,3,1
Panthers,22,81.5,31,96.9,0,0
Saints,22,78.6,60,95.2,1,0
Redskins,22,88,26,92.9,0,0
Ravens,21,70,46,97.9,1,0
Lions,21,75,25,100,0,0
Texans,21,65.6,43,97.7,1,0
Cowboys,20,64.5,41,100,0,2
Falcons,19,65.5,42,97.7,0,0
Rams,19,79.2,16,100,0,0
Niners,19,79.2,39,100,0,0
Jaguars,18,64.3,30,96.8,0,0
Cardinals,18,94.7,45,97.8,1,0
Colts,16,80,50,98,1,0
Buccaneers,16,61.5,24,100,1,1
