Team,FR TD,SFTY,INT TD
Browns,3,0,1
Oilers,3,1,1
Saints,3,0,3
Buccaneers,3,0,1
Bengals,2,0,1
Chiefs,2,0,6
Vikings,2,1,6
Patriots,2,0,3
Falcons,1,0,0
Bills,1,1,2
Bears,1,0,0
Cowboys,1,1,1
Broncos,1,0,1
Lions,1,0,0
Packers,1,0,1
Eagles,1,1,2
Steelers,1,0,1
49ers,1,0,1
Seahawks,1,0,0
Redskins,1,0,2
Colts,0,0,1
Rams,0,1,1
Raiders,0,1,1
Dolphins,0,0,3
Giants,0,0,1
Jets,0,1,3
Cardinals,0,1,3
Chargers,0,3,1
