Player,INT,INT TD,INT Yds,Lng
Stephon Gilmore,6,2,126,64
Anthony Harris,6,1,42,20
Tre'Davious White,6,0,57,49
Kevin Byard,5,0,79,28
Minkah Fitzpatrick,5,1,130,96
Joe Haden,5,0,20,16
J.C. Jackson,5,0,39,19
Janoris Jenkins,5,0,84,62
Kevin King,5,0,54,39
Shaquille Leonard,5,1,92,80
Devin McCourty,5,0,49,24
Marcus Peters,5,3,210,89
Quinton Dunbar,4,0,6,6
Tyrann Mathieu,4,0,70,35
Darius Phillips,4,0,82,28
Logan Ryan,4,0,16,16
Joe Schobert,4,0,24,20
Justin Simmons,4,0,30,17
Desmond Trufant,4,0,26,16
Marcus Williams,4,1,56,55
Jessie Bates,3,0,33,20
Tre Boston,3,0,20,20
James Bradberry,3,0,0,0
Sean Murphy-Bunting,3,1,88,70
Jamie Collins,3,1,85,69
Pierre Desir,3,0,0,0
Quandre Diggs,3,1,99,55
Tre Flowers,3,0,0,0
Kyle Fuller,3,0,37,29
Tashaun Gipson,3,1,105,79
Erik Harris,3,2,145,59
Tre Herndon,3,0,0,0
Jordan Hicks,3,0,64,48
Marlon Humphrey,3,0,14,14
Donte Jackson,3,0,25,25
Rayshawn Jenkins,3,0,10,8
Damontae Kazee,3,0,53,22
Fabian Moreau,3,0,16,10
Andrew Sendejo,3,0,36,21
Richard Sherman,3,1,65,31
Harrison Smith,3,0,13,13
Juan Thornhill,3,1,46,46
K.J. Wright,3,0,10,11
Jahleel Addae,2,0,5,4
Jaire Alexander,2,0,37,37
Ricardo Allen,2,0,29,27
Adrian Amos,2,0,12,9
Bashaud Breeland,2,0,4,4
Juston Burris,2,0,42,27
Devin Bush,2,0,6,6
Malcolm Butler,2,1,61,38
Josh Bynes,2,0,7,6
De'Vondre Campbell,2,0,-5,0
Ha Ha Clinton-Dix,2,1,96,59
Ross Cockrell,2,0,70,37
Ryan Connelly,2,0,18,13
Ronald Darby,2,0,29,16
Michael Davis,2,0,15,15
Jamel Dean,2,0,31,31
Nate Gerry,2,1,51,51
Duron Harmon,2,0,27,27
Ronnie Harrison,2,0,66,35
Casey Hayward,2,0,37,37
Neville Hewitt,2,0,13,9
Troy Hill,2,0,6,6
Malik Hooker,2,0,39,26
Eddie Jackson,2,0,18,14
Kareem Jackson,2,0,28,24
John Johnson,2,0,0,0
Sidney Jones,2,0,4,3
Luke Kuechly,2,0,26,25
Jourdan Lewis,2,0,20,20
Cory Littleton,2,0,32,26
Bobby McCain,2,0,53,32
Bradley McDougald,2,0,0,0
Rodney McLeod Jr.,2,0,30,23
