Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Dwayne Harris,37.2,4,149,0,3,1,72,0,0
Keelan Cole,36.7,3,110,0,2,1,59,0,0
Brandon Wilson,31.2,20,625,1,16,4,92,0,1
Ashton Dulin,30,3,90,0,3,1,46,0,0
Vyncint Smith,29.9,10,299,0,8,1,78,0,1
Ito Smith,29.5,2,59,0,2,0,33,0,0
Cordarrelle Patterson,29.5,28,825,1,22,2,102,0,0
Diontae Spencer,29.1,15,436,0,13,3,60,0,1
Nsimba Webster,28.5,2,57,0,2,0,30,0,0
Anthony Miller,28,1,28,0,1,0,28,0,0
Da'Mari Scott,27.5,4,110,0,3,0,35,0,0
Darwin Thompson,27,1,27,0,1,0,27,0,0
Deonte Harty,26.8,24,644,0,17,4,51,0,0
Jamal Agnew,26.7,17,454,1,11,1,100,0,0
Andre Roberts,26.6,25,664,0,17,3,66,0,0
Zach Pascal,26.3,10,263,0,7,1,47,0,0
Mecole Hardman,26.1,27,704,1,20,1,104,0,2
Brandon Zylstra,26,1,26,0,1,0,26,0,0
D'Ernest Johnson,25.8,5,129,0,3,1,47,0,0
Corey Ballentine,25.6,10,256,0,7,1,52,0,0
Steven Sims,25.6,32,819,1,20,3,91,0,1
Jakeem Grant,25.1,23,578,1,15,2,101,0,0
Ameer Abdullah,25,13,325,0,10,0,38,0,1
Parris Campbell,25,7,175,0,6,0,36,0,1
Dontrell Hilliard,24.8,17,421,0,12,1,74,0,0
Corey Clement,24.3,3,73,0,3,0,26,0,1
Tyler Ervin,24.3,11,267,0,8,1,45,0,0
Patrick DiMarco,24,1,24,0,1,0,24,0,0
David Johnson,24,1,24,0,1,0,24,0,0
Kenjon Barner,23.9,17,406,0,10,1,47,0,0
Greg Dortch,23.8,5,119,0,5,0,32,0,1
Cody Latimer,23.8,24,570,0,16,2,50,1,0
Micah Hyde,23.5,2,47,1,1,1,45,0,0
Tremon Smith,23.3,13,303,0,10,0,36,0,0
Chris Lacy,23,1,23,0,1,0,23,0,0
Jabrill Peppers,23,1,23,0,1,0,23,0,0
Boston Scott,22.9,10,229,0,7,0,33,0,1
Michael Walker,22.8,18,411,0,14,0,35,0,2
DeAndrew White,22.6,10,226,0,8,0,36,0,0
Pharoh Cooper,22.4,25,561,0,16,0,39,0,0
Miles Sanders,22.4,14,314,0,7,1,67,0,0
Devontae Booker,22.4,5,112,0,3,0,32,0,0
Brandon Bolden,22.4,23,515,0,15,0,38,0,0
Kalif Raymond,22.4,18,403,0,10,1,45,0,0
JoJo Natson,22.2,13,289,0,9,0,30,0,0
DeAndre Carter,22,14,308,0,10,0,31,0,0
Trevor Davis,22,23,506,0,12,1,52,0,1
Darius Phillips,21.9,17,373,0,10,0,37,0,0
Travis Homer,21.8,5,109,0,3,0,29,0,0
Darius Jennings,21.8,9,196,0,7,0,26,0,0
Ray-Ray McCloud,21.8,8,174,0,5,0,31,0,0
Isaiah McKenzie,21.7,3,65,0,2,0,24,0,0
Justin Jackson,21.4,5,107,0,3,0,28,0,0
Richie James,21.4,20,428,0,12,1,81,0,0
Ced Wilson,21.3,3,64,0,3,0,22,0,0
Nate Gerry,21,1,21,0,1,0,21,0,0
Chris Hogan,21,1,21,0,1,0,21,0,0
Andy Isabella,21,5,105,0,2,0,32,0,0
Keisean Nixon,21,3,63,0,2,0,26,0,0
Darius Slayton,21,9,189,0,5,0,30,0,0
Jalen Richard,20.9,9,188,0,5,0,29,0,0
T.J. Logan,20.8,13,271,0,7,0,39,0,0
Desmond King,20.7,16,331,0,10,1,43,0,0
Troymaine Pope,20.6,14,288,0,8,0,34,0,0
Nyheim Hines,20.5,6,123,0,2,0,25,0,0
Byron Pringle,20.5,2,41,0,1,0,22,0,0
James White,20.5,2,41,0,2,0,21,0,0
Tavierre Thomas,20.4,10,204,0,6,0,31,0,0
Chris Moore,20.2,4,81,0,2,0,26,0,0
Ty Montgomery,20.2,18,364,0,10,0,34,0,0
Tyler Lockett,19.9,14,279,0,8,0,33,0,0
Alex Erickson,19.8,4,79,0,2,0,26,0,0
Darrell Henderson,19.3,3,58,0,2,0,23,0,0
Ty Johnson,19.3,3,58,0,1,0,25,0,0
Trenton Cannon,19.2,5,96,0,2,0,28,0,0
Julian Edelman,19,1,19,0,0,0,19,0,0
Willie Snead,19,1,19,0,0,0,19,0,0
Justice Hill,18.9,12,227,0,6,1,46,0,0
De'Anthony Thomas,18.9,17,321,0,7,0,31,0,0
Kerrith Whyte,18.9,14,264,0,7,0,34,0,0
Dare Ogunbowale,18.6,12,223,0,6,0,26,0,1
