Team,INT,INT TD,INT Yds,Lng
Raiders,35,0,450,57
Colts,29,4,493,50
Vikings,28,0,404,81
Steelers,27,0,421,65
Eagles,26,2,344,89
Falcons,25,2,342,87
Bills,25,2,376,58
Cowboys,25,3,346,38
Oilers,24,0,425,74
Bengals,22,2,410,52
Rams,22,2,372,76
Cardinals,22,1,249,61T
Dolphins,21,0,183,38
Lions,20,1,315,67T
Chiefs,20,0,388,61
Chargers,20,0,223,45
Redskins,18,0,335,57
Broncos,16,1,293,49T
Saints,16,0,305,46
Giants,16,0,117,38
Jets,15,0,98,18
Packers,14,0,174,61
Bears,13,2,241,76
Patriots,13,1,165,54T
49ers,11,1,138,37T
Browns,10,1,107,56T
