Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Ravens,15.8,45,713,2,10,4,89,10,1
Rams,15.3,34,521,1,10,2,86,18,5
Lions,14.3,33,472,1,5,3,95,24,1
Dolphins,13.3,39,518,1,6,2,81T,19,1
Seahawks,12.8,30,384,0,5,3,43,14,3
Titans,12.7,53,671,1,5,2,69,18,1
Patriots,12.5,45,562,1,9,1,66,22,1
Steelers,11.9,42,499,1,7,2,54T,20,2
Panthers,11.3,21,238,1,4,1,64,12,3
Cowboys,10.4,35,364,2,4,2,64,14,2
Eagles,10.2,33,335,1,3,1,72,33,2
Browns,10.1,29,294,0,2,0,30T,14,2
Broncos,10.1,36,364,0,4,1,64T,12,4
Vikings,10,26,261,0,3,1,63T,28,2
Redskins,9.9,36,356,0,4,2,57,13,4
Raiders,9.6,37,357,0,5,0,36T,13,2
Falcons,9.4,37,348,1,3,2,70,20,2
Colts,9.3,38,352,0,3,1,40T,14,3
Bears,8.7,36,314,0,1,0,25T,27,3
Buccaneers,8.6,39,337,1,2,2,73,19,3
Packers,8.6,35,300,0,3,1,43T,26,5
Bengals,8.5,42,357,1,3,1,82,15,5
Saints,8.5,40,339,0,2,1,51T,17,1
49ers,8.5,26,220,0,3,0,25T,13,1
Giants,8.3,40,332,0,3,0,31,20,4
Chiefs,8,37,295,0,2,0,26T,12,2
Jets,7.3,38,276,0,0,0,19T,19,2
Jaguars,7.2,46,333,0,2,0,22T,19,3
Cardinals,7,32,223,0,2,0,25T,11,4
Chargers,6.2,44,272,0,1,0,35T,17,6
Bills,5,38,190,0,1,0,20T,23,4
