Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Ravens,35,39,89.7,2_2,9_9,13_12,12_10,0_0,0_0,51,1
Packers,33,38,86.8,0_0,8_7,10_10,15_13,0_0,0_0,52,1
Panthers,31,35,88.6,1_1,15_13,9_8,8_7,0_0,0_0,52,1
Jaguars,29,33,87.9,2_2,7_6,11_9,10_9,0_0,0_0,51,1
Eagles,29,33,87.9,1_1,6_6,15_14,10_7,0_0,0_0,51,0
Dolphins,28,31,90.3,0_0,8_7,10_9,13_12,0_0,0_0,49,0
Buccaneers,28,34,82.4,0_0,8_8,10_8,9_7,0_0,0_0,55,1
Titans,27,34,79.4,0_0,15_13,8_7,9_6,0_0,0_0,50,0
Patriots,27,33,81.8,0_0,13_11,9_8,8_7,0_0,0_0,53,0
Bills,26,35,74.3,2_2,13_11,6_4,13_9,0_0,0_0,48,4
Broncos,26,34,76.5,0_0,13_13,8_7,11_5,0_0,0_0,51,0
Falcons,25,31,80.6,0_0,6_6,7_6,15_11,0_0,0_0,51,0
Cowboys,25,33,75.8,2_2,6_5,11_9,13_9,0_0,0_0,48,1
Colts,25,27,92.6,1_1,6_6,13_13,6_5,0_0,0_0,48,1
Steelers,25,30,83.3,1_1,8_8,10_9,9_6,0_0,0_0,52,0
Lions,24,30,80,2_2,7_6,12_10,7_4,0_0,0_0,54,2
Rams,24,27,88.9,2_2,7_7,8_7,7_6,0_0,0_0,51,0
Raiders,23,34,67.6,2_2,6_6,8_6,14_8,0_0,0_0,54,0
Saints,23,29,79.3,1_1,6_6,5_4,15_12,0_0,0_0,48,2
Jets,23,34,67.6,1_1,9_8,8_6,13_7,0_0,0_0,51,1
Vikings,22,23,95.6,1_1,5_5,9_9,7_7,0_0,0_0,49,1
Bears,21,27,77.8,1_1,5_5,9_7,10_6,0_0,0_0,54,0
Seahawks,21,26,80.8,1_1,7_6,4_2,10_9,0_0,0_0,52,0
Redskins,20,30,66.7,0_0,11_11,10_5,7_3,0_0,0_0,50,1
Giants,19,25,76,0_0,9_9,9_6,7_4,0_0,0_0,46,3
Chargers,18,25,72,1_1,3_3,7_5,10_7,0_0,0_0,54,2
Chiefs,17,24,70.8,1_1,6_6,11_7,6_3,0_0,0_0,42,1
Cardinals,16,23,69.6,1_1,2_2,11_9,5_2,0_0,0_0,54,0
49ers,15,22,68.2,0_0,7_6,8_6,6_3,0_0,0_0,47,1
Browns,14,17,82.4,3_3,4_4,5_5,5_2,0_0,0_0,45,0
Bengals,12,21,57.1,0_0,5_5,9_5,7_2,0_0,0_0,45,2
