Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Colts,17.4,24,418,2,5,3,84T,21,2
Jets,11.4,21,240,0,3,0,26,32,1
Steelers,9.8,29,285,1,1,1,85T,19,2
Giants,9.8,28,274,0,2,2,60,14,3
Texans,9.7,22,214,0,1,0,23,18,2
Saints,9.2,40,368,1,5,1,53T,12,3
Bears,9.2,33,302,0,3,1,71,19,2
Ravens,8.2,25,206,0,2,0,25,17,2
Patriots,8,29,233,0,2,0,22,26,1
49ers,8,33,264,0,1,0,32,11,0
Lions,7.9,31,246,1,3,1,64T,22,1
Broncos,7.7,27,208,0,2,1,42,29,2
Titans,7.7,22,169,0,1,0,21,30,2
Bills,7.6,32,243,0,1,0,22,21,1
Falcons,7.1,37,263,1,2,1,78T,1,5
Browns,7.1,23,163,0,0,0,18,15,3
Raiders,7,27,190,0,1,0,32,22,2
Cardinals,7,24,168,0,2,0,29,20,0
Chiefs,6.9,32,222,0,2,0,36,7,2
Panthers,6.8,25,171,0,1,0,39,16,5
Vikings,6.8,28,191,0,1,0,23,18,6
Dolphins,6.6,27,177,0,1,0,21,13,4
Rams,6.3,27,170,0,2,0,35,26,1
Seahawks,6.1,23,141,0,1,0,20,20,1
Eagles,5.9,27,160,0,0,0,17,23,3
Cowboys,5.7,23,131,0,0,0,15,20,0
Bengals,5.7,29,164,0,0,0,17,17,3
Chargers,5.4,22,118,1,1,1,68T,17,5
Buccaneers,5.2,33,172,0,1,1,40,17,4
Jaguars,5,31,154,0,2,1,43,18,2
Packers,4.9,20,98,0,0,0,18,31,3
Redskins,4.7,22,104,0,0,0,15,13,0
