Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Jaguars,44.5,3340,75,46.8,66,3507,25,12,11,2,26,24,127,0,0
Redskins,44.1,3485,79,49.6,79,3919,30,5,12,4,19,39,354,0,0
Giants,43.5,3002,69,46.1,62,3178,29,9,17,2,17,24,136,0,2
Texans,43.5,2477,57,45.6,71,2599,27,2,10,2,19,24,82,0,0
Titans,43.1,3363,78,47.1,70,3672,37,18,9,2,19,30,269,0,0
Saints,43.1,2584,60,46.2,64,2770,29,7,7,1,21,24,166,0,0
Rams,43,2838,66,47.4,71,3128,22,14,10,5,14,23,190,0,1
Vikings,42.6,2644,62,45.2,59,2802,24,6,9,0,24,23,158,0,0
Eagles,42.3,3005,71,46.4,61,3292,28,7,9,4,19,32,207,0,0
Browns,42.2,2699,64,46.1,71,2950,29,8,13,5,18,20,151,0,1
Bengals,42.1,3158,75,45.2,63,3394,30,6,10,5,30,24,136,0,0
Cardinals,42.1,2904,69,47.6,64,3288,23,6,7,5,16,35,284,1,1
Lions,41.8,3175,76,45.3,62,3445,31,5,13,7,22,29,130,0,0
Jets,41.6,3622,87,45.9,63,3991,28,9,18,3,13,44,309,0,0
49ers,41.6,2162,52,44.9,65,2333,23,5,9,2,13,23,131,0,0
Patriots,41.3,3343,81,44.9,65,3638,36,17,12,6,18,28,175,0,0
Bears,41.2,3299,80,44.8,75,3586,26,4,13,2,26,35,247,0,1
Colts,41.2,2433,59,44.4,60,2619,22,6,9,1,15,28,166,0,0
Chiefs,41.2,1977,48,44.3,68,2126,21,1,11,3,14,19,89,0,1
Dolphins,41.1,2836,69,45,62,3105,23,6,12,2,20,29,229,0,0
Chargers,40.9,1964,48,47,60,2256,17,2,3,2,8,33,252,0,0
Seahawks,40.9,3028,74,45.2,63,3341,34,8,9,5,18,34,213,1,0
Steelers,40.8,3023,74,45.5,69,3368,24,5,12,4,24,29,265,0,0
Ravens,40.8,1632,40,46.4,62,1855,21,6,5,4,10,15,143,0,1
Packers,39.9,3073,77,44,66,3386,29,12,10,4,25,26,233,0,0
Raiders,39.4,2643,67,46,74,3081,33,3,8,6,20,30,318,0,0
Broncos,39.4,3070,78,44.4,64,3464,29,12,9,4,21,32,314,2,0
Falcons,38.8,2017,52,42.5,60,2210,22,7,5,3,18,19,133,0,1
Panthers,38.7,2905,75,46,62,3452,25,9,7,3,16,40,487,3,0
Buccaneers,38.3,2182,57,43.2,63,2464,19,2,9,3,18,25,222,0,0
Bills,38.2,3016,79,41.9,67,3313,34,15,13,7,26,18,157,0,1
Cowboys,37.7,1885,50,41.6,58,2079,18,3,9,2,18,18,154,0,1
