Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Ravens,106,6646,57,53.8,48,21.5,1,0,0,1
Chiefs,98,6157,60,61.2,37,19.6,1,0,0,0
49ers,98,6220,49,50,48,21.8,0,0,1,0
Buccaneers,98,6317,88,89.8,9,23,1,0,1,0
Saints,95,6128,74,77.9,21,27,0,0,0,1
Cowboys,92,5656,51,55.4,35,23.3,4,0,3,0
Patriots,92,5777,59,64.1,29,20.9,2,0,3,0
Vikings,88,5664,66,75,21,25.1,1,0,1,0
Falcons,87,5180,47,54,31,22.3,7,2,4,0
Rams,85,5429,65,76.5,17,27.5,1,0,3,0
Seahawks,85,5337,59,69.4,24,22.2,1,0,0,0
Cardinals,83,5302,45,54.2,36,20.6,0,0,2,0
Texans,82,5164,42,51.2,39,18.6,1,1,0,0
Eagles,81,5073,52,64.2,27,23.8,2,0,0,1
Lions,80,4938,25,31.2,52,24.7,2,1,1,1
Browns,79,4934,30,38,46,20.4,2,0,2,0
Packers,79,5068,49,62,29,24.2,0,0,1,0
Colts,79,5101,60,76,19,24.7,0,0,0,0
Titans,78,4814,39,50,37,23.7,2,0,0,0
Panthers,76,4658,66,86.8,5,20.4,5,1,0,0
Jaguars,76,4583,39,51.3,32,21.6,5,0,0,0
Steelers,75,4735,31,41.3,44,21.5,0,0,0,0
Chargers,75,4647,36,48,36,24.5,3,0,0,1
Bills,74,4579,42,56.8,30,23,2,0,0,1
Dolphins,73,4424,49,67.1,20,27,4,1,0,1
Broncos,72,4634,55,76.4,17,26.8,0,0,0,0
Giants,72,4519,50,69.4,20,18,1,0,2,0
Bengals,71,4308,46,64.8,19,21.1,5,1,1,0
Raiders,71,4496,38,53.5,33,20.9,1,0,0,0
Jets,68,4117,32,47.1,33,19.3,3,0,0,0
Redskins,68,4231,48,70.6,17,25.8,3,0,0,0
Bears,67,4166,36,53.7,27,25,2,1,3,0
