Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Panthers,364,1415,3.9,11,74,20.3
Bills,394,1730,4.4,10,87,22.1
Seahawks,362,1304,3.6,10,71,19.6
Vikings,411,1748,4.2,7,94,22.9
Texans,388,1597,4.1,10,79,20.4
Bears,433,1934,4.5,9,103,23.8
Bengals,344,1477,4.3,8,74,21.5
Buccaneers,466,1606,3.4,12,104,22.3
Cardinals,373,1460,3.9,9,79,21.2
Jets,373,1335,3.6,4,62,16.6
Eagles,478,2153,4.5,10,100,20.9
Packers,420,1905,4.5,13,96,22.9
Chiefs,383,1571,4.1,7,86,22.4
Rams,453,1820,4,7,98,21.6
Redskins,406,1962,4.8,10,103,25.4
Falcons,416,1680,4,20,107,25.7
Broncos,408,1337,3.3,10,81,19.8
Cowboys,461,1934,4.2,16,113,24.5
Giants,444,1942,4.4,15,104,23.4
Saints,421,2071,4.9,12,103,24.5
Colts,452,1952,4.3,14,89,19.7
Chargers,417,2005,4.8,17,101,24.2
Niners,504,2020,4,20,128,25.4
Steelers,382,1459,3.8,6,71,18.6
Ravens,418,1661,4,10,80,19.1
Patriots,397,1580,4,8,77,19.4
Browns,458,2055,4.5,11,104,22.7
Titans,462,1797,3.9,11,101,21.9
Raiders,406,1678,4.1,12,94,23.2
Lions,428,1808,4.2,18,96,22.4
Jaguars,464,1709,3.7,15,102,22
Dolphins,502,2019,4,13,112,22.3
