Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Arian Foster,1616,327,16,12,3,74,89,27.2,3
Jamaal Charles,1467,230,5,10,3,80,70,30.4,2
Michael Turner,1371,334,12,9,1,55,71,21.3,2
Chris Johnson,1364,316,11,13,4,76,55,17.4,2
Maurice Jones-Drew,1324,299,5,8,0,37,75,25.1,2
Adrian Peterson,1298,283,12,9,2,80,70,24.7,1
Rashard Mendenhall,1273,324,13,11,1,50,61,18.8,2
Steven Jackson,1241,330,6,7,1,42,60,18.2,1
Ahmad Bradshaw,1235,276,8,13,2,48,61,22.1,7
Ray Rice,1220,307,5,4,1,50,51,16.6,0
Peyton Hillis,1177,270,11,5,1,48,57,21.1,8
Darren McFadden,1157,223,7,14,4,57,45,20.2,3
Cedric Benson,1111,321,7,2,0,26,59,18.4,7
LeSean McCoy,1080,207,7,7,5,62,48,23.2,1
Matt Forte,1069,237,6,9,2,68,42,17.7,0
BenJarvus Green-Ellis,1008,229,13,4,0,33,62,27.1,0
LeGarrette Blount,1007,201,6,10,3,53,38,18.9,3
Fred Jackson,927,222,5,6,0,39,42,18.9,4
LaDainian Tomlinson,914,219,6,5,0,31,42,19.2,2
Thomas Jones,896,245,6,3,1,70,39,15.9,3
Frank Gore,853,203,3,6,1,64,42,20.7,3
Brandon Jacobs,823,147,9,10,1,73,39,26.5,2
Felix Jones,800,185,1,3,0,34,44,23.8,1
Knowshon Moreno,779,182,5,3,0,35,34,18.7,3
Jonathan Stewart,770,178,2,5,2,48,32,18,4
Shonn Greene,766,185,2,1,0,23,40,21.6,2
Ryan Torain,742,164,4,7,1,54,35,21.3,2
Marshawn Lynch,737,202,6,5,0,39,38,18.8,2
Tim Hightower,736,153,5,8,2,80,30,19.6,4
Mike Tolbert,735,182,11,6,0,36,42,23.1,5
Ronnie Brown,734,200,5,1,1,51,40,20,3
Chris Ivory,716,137,5,5,1,55,44,32.1,4
Brandon Jackson,703,190,3,2,1,71,27,14.2,1
Ryan Mathews,678,158,7,4,0,31,25,15.8,4
Mike Vick,676,100,9,8,0,35,38,38,4
Ricky Williams,673,159,2,3,1,45,26,16.4,4
Michael Bush,655,158,8,5,0,30,32,20.2,0
Jahvid Best,555,171,4,3,1,45,25,14.6,1
Danny Woodhead,547,97,5,3,0,36,23,23.7,1
Justin Forsett,523,118,2,5,0,32,25,21.2,0
Donald Brown,497,129,2,4,2,49,26,20.2,0
Joseph Addai,495,116,4,1,1,46,31,26.7,2
Rashad Jennings,459,84,4,1,1,74,25,29.8,0
Mike Goodson,452,103,3,3,1,45,20,19.4,4
Cadillac Williams,437,125,2,3,1,45,19,15.2,1
Chris Wells,397,116,2,1,0,24,18,15.5,1
Willis McGahee,380,100,5,3,0,30,18,18,2
Marion Barber,374,113,4,3,0,25,29,25.7,0
Josh Freeman,364,68,0,2,0,33,29,42.6,2
DeAngelo Williams,361,87,1,4,0,39,12,13.8,1
Aaron Rodgers,356,64,4,1,0,27,22,34.4,2
Brian Westbrook,340,77,4,1,0,30,17,22.1,0
Maurice Morris,336,90,5,1,0,26,19,21.1,1
Jerome Harrison,330,71,1,4,1,50,12,16.9,2
Jason Snelling,324,87,2,1,0,30,21,24.1,1
Toby Gerhart,322,81,1,1,0,21,13,16,1
Derrick Ward,315,50,4,3,0,38,17,34,0
Bernard Scott,299,61,1,0,0,18,16,26.2,0
Brad Smith,299,38,1,4,2,53,12,31.6,1
C.J. Spiller,283,74,0,1,0,20,10,13.5,2
John Kuhn,281,84,4,0,0,18,26,31,1
David Garrard,279,66,5,3,0,25,28,42.4,5
Ryan Fitzpatrick,269,40,0,2,0,22,13,32.5,4
Pierre Thomas,269,83,2,0,0,16,19,22.9,0
Darren Sproles,267,50,0,3,0,34,10,20,1
Chester Taylor,267,112,3,1,0,24,16,14.3,0
Keiland Williams,261,65,3,2,0,32,14,21.5,0
Isaac Redman,247,52,0,1,0,23,21,40.4,1
Tashard Choice,243,66,3,2,0,26,14,21.2,0
Javon Ringer,239,51,2,1,1,54,10,19.6,0
Anthony Dixon,237,70,2,1,0,34,11,15.7,0
Jay Cutler,232,50,1,1,0,25,15,30,1
Clinton Portis,227,54,2,1,0,27,12,22.2,0
Tim Tebow,227,43,6,2,1,40,12,27.9,1
Julius Jones,223,60,0,1,1,54,9,15,1
Jason Campbell,222,47,1,3,0,24,13,27.7,2
Joe McKnight,189,39,0,0,0,18,7,18,0
Mike Hart,185,43,1,1,0,35,10,23.3,0
Ben Roethlisberger,176,34,2,2,0,31,15,44.1,3
Dominic Rhodes,172,37,0,0,0,15,8,21.6,1
Deji Karim,160,35,0,0,0,15,8,22.9,1
Lance Ball,158,41,0,0,0,19,8,19.5,1
Jacoby Ford,155,10,2,2,1,71,7,70,0
Fred Taylor,155,43,0,1,0,24,9,20.9,0
Donovan McNabb,151,29,0,2,0,36,8,27.6,3
Ladell Betts,150,45,2,0,0,12,11,24.4,1
Reggie Bush,150,36,0,1,0,23,6,16.7,0
Correll Buckhalter,147,59,2,0,0,13,10,17,1
Jon Kitna,147,31,1,1,0,29,6,19.4,2
Colt McCoy,136,28,1,0,0,18,10,35.7,0
Kevin Smith,133,34,0,0,0,15,5,14.7,0
Matt Cassel,125,33,0,1,0,23,5,15.2,1
Vince Young,125,25,0,1,0,20,6,24,3
Shaun Hill,123,22,0,1,1,40,8,36.4,2
Marcel Reece,122,30,1,1,0,31,9,30,1
Matt Ryan,122,46,0,1,0,20,9,19.6,1
Troy Smith,121,23,1,0,0,16,9,39.1,3
Joe Webb,120,18,2,0,0,16,7,38.9,0
Mike Thomas,114,12,0,2,0,33,5,41.7,0
Drew Stanton,113,18,1,1,0,20,8,44.4,0
LaRod Stephens-Howling,113,23,1,2,0,30,5,21.7,0
Javarris James,112,46,6,0,0,11,9,19.6,0
Kenneth Darby,107,34,2,0,0,13,7,20.6,0
Percy Harvin,107,18,1,0,0,17,7,38.9,0
Mark Sanchez,105,30,3,1,0,20,11,36.7,4
DeSean Jackson,104,16,1,1,0,31,5,31.2,0
James Starks,101,29,0,0,0,16,5,17.2,0
Leon Washington,100,27,1,1,0,21,5,18.5,0
Mike Bell,99,47,0,0,0,11,6,12.8,1
Earnest Graham,99,20,1,1,1,61,5,25,1
Mewelde Moore,99,33,0,0,0,18,4,12.1,0
Kyle Orton,98,22,0,0,0,14,9,40.9,3
Stefan Logan,95,15,0,1,0,21,5,33.3,0
Dimitri Nance,95,36,0,0,0,11,4,11.1,0
Miles Austin,93,7,1,2,1,60,3,42.9,0
Steve Slaton,93,19,0,1,0,23,4,21,0
Le'Ron McClain,85,28,0,0,0,16,15,53.6,0
Joe Flacco,84,43,1,0,0,14,10,23.3,2
Danny Amendola,81,7,0,2,0,30,4,57.1,0
Nate Burleson,81,7,0,2,0,25,5,71.4,0
Michael Robinson,77,12,0,0,0,17,9,75,0
Jerome Felton,76,22,0,0,0,9,3,13.6,1
Laurence Maroney,74,36,0,0,0,13,1,2.8,1
Stephen McGee,74,13,0,0,0,14,4,30.8,1
Tyler Thigpen,73,13,0,0,0,12,3,23.1,1
D.J. Ware,73,20,0,0,0,14,7,35,0
Dexter McCluster,71,18,0,1,0,20,6,33.3,1
Tyrell Sutton,71,13,0,1,0,32,2,15.4,0
Eli Manning,70,32,0,0,0,16,4,12.5,2
Reggie Hodges,68,1,0,1,1,68,1,100,0
Eldra Buckley,67,21,0,0,0,13,4,19,0
Josh Cribbs,66,20,0,0,0,19,5,25,1
Kevin Kolb,65,15,0,0,0,19,6,40,1
Sam Bradford,63,27,1,0,0,17,6,22.2,1
Tarvaris Jackson,63,7,0,1,0,33,3,42.9,1
Lousaka Polite,62,26,1,0,0,4,15,57.7,0
Brandon Tate,62,5,0,1,0,22,3,60,0
Brian Leonard,61,9,0,1,1,42,4,44.4,0
Eddie Royal,61,6,0,1,0,20,4,66.7,1
James Davis,60,19,0,0,0,14,1,5.3,0
Matt Hasselbeck,60,23,3,1,0,20,8,34.8,1
Jacob Hester,60,26,0,0,0,6,9,34.6,0
Brandon LaFell,60,1,0,1,1,60,1,100,0
Alex Smith,60,18,0,0,0,12,3,16.7,0
Aaron Brown,58,17,0,0,0,9,2,11.8,0
Trent Edwards,58,14,0,0,0,14,7,50,0
Jimmy Clausen,57,23,0,0,0,11,2,8.7,7
Sammy Morris,56,20,0,0,0,9,6,30,0
Keith Toston,54,19,0,0,0,10,2,10.5,0
Chad Henne,52,35,0,0,0,10,5,14.3,4
Philip Rivers,52,29,0,0,0,14,6,20.7,3
Jackie Battle,50,20,1,0,0,7,7,35,0
Carson Palmer,50,32,0,0,0,9,6,18.8,4
John Skelton,49,10,0,0,0,16,3,30,1
Darrius Heyward-Bey,48,4,0,1,0,30,2,50,1
Aaron Hernandez,47,3,0,0,0,18,3,100,0
Kevin Faulk,45,8,0,0,0,11,1,12.5,0
Ryan Grant,45,8,0,0,0,18,2,25,0
Donte' Stallworth,45,5,0,0,0,19,2,40,1
John Conner,44,8,1,0,0,16,2,25,0
Louis Murphy,43,1,0,1,1,43,1,100,0
Charlie Whitehurst,43,20,1,0,0,9,4,20,1
Bruce Gradkowski,41,12,0,0,0,12,2,16.7,0
Josh Johnson,39,4,0,0,0,14,3,75,0
Mike Wallace,39,5,0,0,0,19,2,40,0
Tony Romo,38,6,0,0,0,14,2,33.3,0
Gartrell Johnson,36,10,0,1,0,23,2,20,0
Jeremy Maclin,36,3,0,0,0,14,3,100,0
Ovie Mughelli,36,13,0,0,0,6,7,53.8,0
Arrelious Benn,35,6,0,0,0,17,2,33.3,0
Steve Breaston,35,3,0,0,0,17,2,66.7,0
Dennis Dixon,32,5,0,1,0,21,1,20,1
Calvin Johnson,32,4,0,0,0,15,2,50,0
Charlie Batch,30,7,0,1,0,24,2,28.6,2
Tom Brady,30,31,1,0,0,9,10,32.3,1
Devin Hester,30,7,0,0,0,11,2,28.6,0
Chad Hall,29,9,0,0,0,8,3,33.3,0
Albert Young,29,13,0,0,0,6,1,7.7,0
Jonathan Dwyer,28,9,0,0,0,7,0,0,0
Brandon Gibson,28,3,0,0,0,14,2,66.7,0
Matt Schaub,28,22,0,0,0,8,7,31.8,2
Jason Wright,28,6,0,0,0,10,3,50,0
Brian Hartline,27,2,0,1,0,30,1,50,0
Matt Flynn,26,9,0,0,0,12,2,22.2,0
Derek Anderson,25,5,0,0,0,11,2,40,1
Matt Moore,25,5,0,0,0,8,1,20,0
Roscoe Parrish,23,3,0,0,0,13,2,66.7,0
Rock Cartwright,22,9,0,0,0,10,1,11.1,0
Tony Fiammetta,22,7,0,0,0,11,4,57.1,0
Darrel Young,19,4,0,0,0,16,1,25,0
Kyle Boller,18,7,0,0,0,15,1,14.3,1
Quinton Ganther,18,9,0,0,0,11,1,11.1,0
Spencer Larsen,18,3,0,0,0,14,3,100,0
Peyton Manning,18,18,0,1,0,27,2,11.1,1
Delanie Walker,18,3,0,0,0,10,1,33.3,0
Thomas Clayton,17,7,0,0,0,5,1,14.3,0
Chris Gronkowski,17,5,0,0,0,8,2,40,0
Santonio Holmes,17,2,0,0,0,14,0,0,2
Josh Morgan,17,2,0,0,0,13,2,100,0
Ben Obomanu,17,2,0,0,0,13,1,50,0
Steve Weatherford,17,1,0,0,0,17,0,0,0
Chase Daniel,16,2,0,0,0,16,1,50,1
Marlon Moore,16,1,0,0,0,16,1,100,0
David Reed,15,1,0,0,0,15,1,100,0
Julian Edelman,14,2,0,0,0,13,1,50,0
Vincent Jackson,14,1,0,0,0,14,1,100,0
Robert Meachem,14,4,0,0,0,8,1,25,0
Tony Richardson,13,5,0,0,0,4,3,60,0
Mike Karney,12,6,0,0,0,4,3,50,0
Michael Bennett,11,2,0,0,0,6,0,0,0
Curtis Brinkley,11,2,0,0,0,9,1,50,0
Ted Ginn,11,2,0,0,0,9,0,0,0
Kareem Huggins,11,4,0,0,0,7,0,0,0
Matthew Stafford,11,4,1,0,0,9,1,25,1
Lawrence Vickers,11,5,0,0,0,3,2,40,0
Andre Johnson,10,2,0,0,0,7,0,0,0
Earl Bennett,9,2,0,0,0,5,1,50,0
Kellen Clemens,9,2,1,0,0,10,1,50,0
Zach Miller,9,2,0,0,0,8,0,0,0
Carlton Mitchell,9,1,0,0,0,9,0,0,0
Steve Smith,9,1,0,0,0,9,1,100,0
Chansi Stuckey,9,3,1,0,0,11,1,33.3,0
Seneca Wallace,9,7,0,0,0,6,1,14.3,1
Todd Bouman,8,2,0,0,0,6,1,50,0
Brett Favre,8,17,0,0,0,10,1,5.9,4
Devery Henderson,8,3,0,0,0,9,1,33.3,0
Jerious Norwood,8,2,0,0,0,6,1,50,0
Garrett Wolfe,8,4,0,0,0,7,0,0,0
Armanti Edwards,7,1,0,0,0,7,0,0,0
Jacoby Jones,7,2,0,0,0,10,1,50,0
Preston Parker,7,1,0,0,0,7,0,0,0
Josh Vaughan,7,3,1,0,0,6,1,33.3,0
Brandon Banks,6,2,0,0,0,3,0,0,0
Deon Butler,6,2,0,0,0,4,0,0,0
Mark Clayton,6,1,0,0,0,6,0,0,0
Kevin Curtis,6,1,0,0,0,6,0,0,0
Pierre Garcon,6,2,0,0,0,11,1,50,0
Rex Grossman,6,3,0,0,0,5,0,0,0
Javier Arenas,5,1,0,0,0,5,0,0,0
Early Doucet,5,2,0,0,0,3,1,50,0
Jay Feely,5,1,1,0,0,5,1,100,0
Corey McIntyre,5,4,1,0,0,2,3,75,0
Tyler Palko,5,2,0,0,0,6,1,50,0
Jordan Senn,5,1,0,0,0,5,1,100,0
Damian Williams,5,1,0,0,0,5,0,0,0
Dwayne Bowe,4,1,0,0,0,4,0,0,0
Braylon Edwards,4,1,0,0,0,4,0,0,0
Greg Jones,4,2,0,0,0,3,0,0,0
Luke McCown,4,1,0,0,0,4,0,0,0
Golden Tate,4,2,0,0,0,3,0,0,0
