Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Joe McKnight,21.5,2,43,0,1,0,25,0,0
Bryan McCann,20.6,8,165,1,3,1,97,10,4
Devin Hester,17.1,33,564,3,9,5,89,10,0
Antoine Cason,16.5,14,231,0,3,2,62,4,0
Dexter McCluster,15.5,13,202,1,3,1,94,2,1
Julian Edelman,15.3,21,321,1,4,2,94,6,1
Emmanuel Sanders,15,4,60,0,1,0,38,1,0
C.J. Spiller,14.6,12,175,0,5,0,34,8,1
Dez Bryant,14.3,15,215,2,2,2,93,0,1
Ted Ginn,13.4,24,321,1,4,2,78,18,1
Eric Weems,12.8,18,230,1,1,1,55,19,0
Golden Tate,12.6,16,202,0,3,1,63,6,1
Marc Mariani,12.2,27,329,1,4,1,87,17,1
Stefan Logan,12.1,30,362,0,4,1,71,21,2
Eddie Royal,11.9,25,298,0,3,0,33,12,1
DeSean Jackson,11.6,20,231,1,3,1,65,8,2
Patrick Crayton,11.5,2,23,0,0,0,13,2,0
Davone Bess,11.4,25,284,0,2,1,47,20,3
Brandon Banks,11.3,38,431,0,6,1,53,10,1
Jim Leonhard,11.3,21,238,0,4,0,32,19,0
Leon Washington,11.3,22,249,0,3,3,84,8,1
Danny Amendola,11.3,40,452,0,7,2,42,18,0
Roscoe Parrish,10.9,12,131,0,2,0,33,7,0
Captain Munnerlyn,10.9,30,327,0,6,0,37,6,2
Mike Thomas,10.5,34,358,1,5,3,78,7,3
Jorrick Calvin,10.4,12,125,0,1,1,44,4,1
Chad Hall,10.3,3,31,0,0,0,14,2,0
Lance Moore,10.2,11,112,0,1,1,72,16,1
Yamon Figurs,10,1,10,0,0,0,10,0,0
Santonio Holmes,10,4,40,0,0,0,14,0,0
Lardarius Webb,9.5,21,199,0,3,0,35,12,2
Greg Camarillo,9.2,39,359,0,4,1,52,20,0
Josh Cribbs,8.4,20,168,0,0,0,17,6,3
Javier Arenas,8.3,39,322,0,3,0,36,7,1
Jerricho Cotchery,8.2,8,66,0,0,0,19,4,0
Blair White,8,10,80,0,0,0,18,14,1
Tramon Williams,8,41,326,0,3,2,52,19,2
Jerraud Powers,7.9,8,63,0,0,0,13,4,0
Steve Smith,7.7,6,46,0,1,0,32,0,1
Andre Roberts,7.5,35,263,0,2,0,25,8,1
Quan Cosby,7.5,30,225,0,1,0,20,21,0
Kyle Wilson,7.4,15,111,0,0,0,18,2,2
Nick Miller,7.3,35,257,0,2,1,46,7,1
Phillip Adams,7.2,4,29,0,0,0,16,0,1
Johnnie Lee Higgins,7.2,17,123,0,1,1,53,4,0
Antonio Cromartie,7.2,5,36,0,0,0,16,0,0
Wes Welker,7.2,5,36,0,1,0,22,7,1
Jacoby Jones,7,29,204,0,1,0,39,15,0
Darren Sproles,6.9,24,166,0,0,0,16,11,1
Micheal Spurlock,6.9,28,193,0,2,0,23,16,1
Will Blackmon,6.7,14,94,0,2,0,22,7,2
Adam Jones,6.6,5,33,0,1,0,27,0,0
Reggie Bush,6.6,14,92,0,1,1,43,2,2
David Anderson,6.5,4,26,0,0,0,17,1,0
Tom Zbikowski,6.3,16,101,0,1,0,20,8,0
Max Komar,6.2,5,31,0,0,0,9,0,2
Aaron Ross,6.2,6,37,0,0,0,14,1,1
Drayton Florence,6,1,6,0,0,0,6,0,0
Kenny Moore,6,6,36,0,0,0,16,3,2
Syd'Quan Thompson,6,3,18,0,0,0,10,2,2
Antonio Brown,5.8,19,110,0,2,0,21,1,1
Darius Reynaud,5.7,23,132,0,1,0,20,5,1
Justin Forsett,5.7,3,17,0,0,0,12,0,0
Jeremy Maclin,5.7,3,17,0,0,0,9,5,0
Kyle Williams,5.3,3,16,0,0,0,9,6,0
Brandon James,5,7,35,0,0,0,14,3,0
Bernard Pollard,5,1,5,0,0,0,5,0,0
Clifton Smith,4.5,2,9,0,0,0,6,4,0
Leodis McKelvin,4,6,24,0,1,0,25,3,2
Antwaan Randle El,4,14,56,0,0,0,15,17,2
Brandon Tate,4,1,4,0,0,0,4,0,0
Ed Reed,3.7,3,11,0,0,0,9,6,1
Tracy Porter,3,2,6,0,0,0,4,0,0
Chris Carr,2.7,3,8,0,0,0,10,0,0
Chansi Stuckey,2.5,2,5,0,0,0,5,3,1
Perrish Cox,2.3,3,7,0,0,0,4,1,1
Jesse Holley,2,1,2,0,0,0,2,0,0
Tyron Brackenridge,1,1,1,0,0,0,1,0,0
Bernard Berrian,0.7,3,2,0,0,0,2,2,2
Phillip Buchanon,0.5,2,1,0,0,0,1,3,1
Jonathon Amaya,0,1,0,0,0,0,0,0,1
Andre Caldwell,0,1,0,0,0,0,0,0,1
Thomas DeCoud,0,1,0,0,0,0,0,0,1
Armanti Edwards,0,2,0,0,0,0,0,0,1
Elbert Mack,0,1,0,0,0,0,0,0,1
Antwaun Molden,0,1,0,0,0,0,0,0,0
Brandon Myers,0,1,0,0,0,0,0,0,1
Kassim Osgood,0,1,0,0,0,0,0,0,0
Dominique Rodgers-Cromartie,0,1,0,0,0,0,0,0,1
Bryan Scott,0,1,0,0,0,0,0,0,1
Sammie Stroughter,0,1,0,0,0,0,0,0,1
Walter Thurmond,0,1,0,0,0,0,0,0,1
Matt Ware,0,1,0,0,0,0,0,0,1
Jamar Williams,0,1,0,0,0,0,0,0,0
Tyvon Branch,-4,1,-4,0,0,0,-4,0,0
Marquice Cole,-5,1,-5,0,0,0,-5,0,1
