Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Keenan Allen,83,1011,7,17,1,42,45,54.2,1,338,113
Tyreek Hill,79,1222,9,20,7,69,56,70.9,1,451,108
Stefon Diggs,77,895,7,8,2,55,43,55.8,2,294,110
Adam Thielen,76,726,4,7,0,31,43,56.6,1,263,97
T.J. Hockenson,75,736,4,11,0,29,40,53.3,1,277,102
CeeDee Lamb,74,1013,5,22,1,49,44,59.5,2,357,95
Amon-Ra St. Brown,73,898,5,12,2,46,44,60.3,1,342,98
Ja'Marr Chase,71,833,6,8,3,64,47,66.2,1,387,106
Puka Nacua,69,897,3,17,0,37,44,63.8,1,332,103
A.J. Brown,68,1013,6,18,3,59,46,67.6,0,318,96
Michael Pittman,66,677,3,5,2,75,28,42.4,1,307,98
Davante Adams,64,741,4,8,2,46,39,60.9,0,203,111
Travis Kelce,64,641,5,4,2,53,33,51.6,1,293,81
Evan Engram,59,475,0,4,0,34,20,33.9,2,305,74
DJ Moore,59,889,6,14,2,58,41,69.5,1,368,80
Garrett Wilson,57,651,2,7,2,68,27,47.4,2,211,103
Terry McLaurin,56,644,2,9,0,36,31,55.4,0,194,86
Chris Olave,56,657,3,8,2,45,34,60.7,0,208,94
Zay Flowers,53,588,1,9,3,52,26,49.1,0,255,72
Christian Kirk,52,672,3,11,2,45,30,57.7,2,206,77
Dalton Kincaid,51,436,2,2,0,22,21,41.2,1,219,58
Tyler Lockett,51,545,4,4,0,36,30,58.8,0,143,74
Chris Godwin,50,561,1,6,1,42,31,62,0,192,75
Alvin Kamara,50,305,1,2,0,25,15,30,0,322,56
Sam LaPorta,50,492,4,4,1,45,25,50,0,196,69
Cole Kmet,49,439,5,3,0,23,26,53.1,1,208,61
Jordan Addison,48,647,7,10,2,62,27,56.2,0,183,71
Mike Evans,48,780,7,14,4,70,32,66.7,0,178,82
DeVonta Smith,48,632,4,9,3,63,24,50,0,132,68
Tyler Boyd,47,439,2,3,1,64,19,40.4,0,193,67
Jakobi Meyers,46,512,5,4,0,25,29,63,0,131,69
Mark Andrews,45,544,6,8,0,38,27,60,1,217,61
Marquise Brown,45,486,4,7,1,41,29,64.4,0,135,86
Amari Cooper,45,749,2,13,4,59,32,71.1,1,153,80
David Njoku,45,433,2,4,1,41,19,42.2,1,351,69
Courtland Sutton,45,499,8,8,0,33,26,57.8,3,85,62
Jaylen Waddle,44,577,3,7,0,35,30,68.2,0,249,66
Brandon Aiyuk,43,831,4,17,2,76,38,88.4,0,222,61
Nico Collins,43,696,4,15,2,52,31,72.1,0,300,64
Josh Downs,43,523,2,8,1,59,22,51.2,0,224,60
George Kittle,43,648,5,11,1,66,28,65.1,0,295,56
Christian McCaffrey,43,364,5,2,0,35,22,51.2,1,336,52
Logan Thomas,43,409,3,3,0,29,19,44.2,2,205,58
