Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Christian McCaffrey,825,174,9,3,2,65,48,27.6,2
Raheem Mostert,691,131,11,6,2,49,38,29,2
D'Andre Swift,690,147,4,5,1,43,34,23.1,2
James Cook,688,137,1,4,1,42,34,24.8,1
Travis Etienne,670,174,7,4,0,35,36,20.7,0
Derrick Henry,663,158,4,3,1,63,32,20.2,0
Josh Jacobs,661,200,5,2,1,40,31,15.5,2
Saquon Barkley,651,153,1,6,0,36,29,19,1
Zack Moss,617,133,5,6,2,56,31,23.3,0
Isiah Pacheco,614,143,3,3,1,48,35,24.5,0
Kenneth Walker III,613,149,6,5,1,45,28,18.8,0
Bijan Robinson,612,125,2,4,0,38,32,25.6,2
Joe Mixon,605,153,4,2,0,22,38,24.8,0
Tony Pollard,590,147,3,5,0,31,30,20.4,1
David Montgomery,577,118,8,3,2,75,31,26.3,2
Gus Edwards,564,133,10,4,1,42,36,27.1,0
Jerome Ford,563,136,3,4,2,69,21,15.4,1
Brian Robinson,558,138,5,3,0,29,37,26.8,2
Breece Hall,544,117,2,4,3,83,18,15.4,2
Alexander Mattison,542,148,0,0,0,19,21,14.2,2
Lamar Jackson,535,101,5,2,0,26,35,34.6,4
Jahmyr Gibbs,512,98,5,5,0,35,23,23.5,0
James Conner,499,98,2,5,0,35,25,25.5,0
Najee Harris,499,128,3,5,0,25,24,18.8,1
Jaylen Warren,493,80,3,4,1,74,25,31.2,1
Rhamondre Stevenson,482,126,3,1,1,64,25,19.8,0
Javonte Williams,473,122,0,1,0,21,21,17.2,0
Devin Singletary,471,114,2,2,0,22,17,14.9,0
De'Von Achane,461,39,5,6,4,76,15,38.5,1
Rachaad White,459,141,4,0,0,16,24,17,0
Kyren Williams,456,97,6,3,0,31,26,26.8,1
Chuba Hubbard,408,104,1,2,0,21,27,26,0
AJ Dillon,405,117,1,1,1,40,21,18,0
Tyler Allgeier,402,125,3,1,0,22,25,20,0
Austin Ekeler,396,102,4,3,1,55,15,14.7,1
Joshua Dobbs,389,70,6,6,1,44,29,41.4,7
Alvin Kamara,388,104,2,0,0,17,24,23.1,0
D'Onta Foreman,381,92,4,1,0,22,22,23.9,1
Joshua Kelley,352,85,2,2,1,49,18,21.2,0
