Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Dolphins,494,295,59.7,6.6,3247,21,16,175,35.4,21
Broncos,456,261,57.2,6.1,2796,15,28,147,32.2,31
Cardinals,490,276,56.3,6.9,3383,30,14,168,34.3,41
Eagles,561,305,54.4,6.4,3606,29,21,187,33.3,57
Jets,488,260,53.3,6.6,3206,27,18,153,31.4,29
Buccaneers,457,271,59.3,6.4,2949,23,16,164,35.9,39
Bills,447,249,55.7,6.4,2854,25,17,162,36.2,34
Chargers,441,227,51.5,6.3,2782,19,13,136,30.8,45
Lions,459,259,56.4,7,3203,23,19,163,35.5,42
Falcons,453,243,53.6,7,3173,26,15,163,36,17
49ers,467,224,48,5.3,2484,13,25,131,28,37
Cowboys,502,269,53.6,6.9,3444,21,23,173,34.5,51
Giants,508,292,57.5,5.7,2890,17,20,147,28.9,55
Bears,507,255,50.3,5.5,2802,24,13,158,31.2,70
Browns,467,246,52.7,6.1,2831,15,23,133,28.5,34
Oilers,495,266,53.7,6.4,3145,25,23,155,31.3,35
Redskins,527,276,52.4,6.3,3343,19,23,178,33.8,53
Bengals,456,267,58.6,6.7,3056,24,14,168,36.8,40
Raiders,425,224,52.7,6.4,2727,18,13,136,32,44
Packers,469,279,59.5,6.4,3003,14,18,152,32.4,34
Colts,501,250,49.9,5.5,2760,19,20,162,32.3,39
Vikings,498,278,55.8,6.2,3100,24,26,159,31.9,41
Patriots,520,273,52.5,6,3099,17,21,161,31,43
Chiefs,484,279,57.6,6.8,3306,25,11,172,35.5,26
Steelers,481,290,60.3,6.9,3310,22,27,169,35.1,26
Rams,504,281,55.8,6.7,3389,31,16,162,32.1,38
Saints,489,246,50.3,5.7,2800,25,30,156,31.9,47
Seahawks,445,255,57.3,6.6,2958,20,17,148,33.3,37
