Team,Rsh TD,Rec TD,Tot TD,2-PT
Ravens,4,2,6,1
Colts,4,2,6,0
Rams,4,1,5,0
49ers,4,2,6,0
Falcons,3,2,5,0
Cowboys,3,2,7,1
Dolphins,3,4,7,0
Eagles,3,2,6,0
Chargers,3,3,6,1
Commanders,3,3,6,1
Bills,2,4,6,0
Bears,2,2,4,1
Browns,2,2,4,3
Lions,2,4,7,0
Titans,2,1,3,0
Jaguars,2,2,4,0
Saints,2,1,3,0
Giants,2,2,4,0
Cardinals,2,1,3,1
Seahawks,2,3,6,0
Broncos,1,5,6,0
Packers,1,6,8,0
Patriots,1,4,5,0
Buccaneers,1,3,5,0
Panthers,0,2,2,1
Bengals,0,2,3,0
Texans,0,2,2,0
Chiefs,0,4,4,0
Raiders,0,3,3,0
Vikings,0,6,6,0
Jets,0,2,3,0
Steelers,0,2,3,0
