Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Browns,75,404,5.4,2,2,1,69,19,25.3,3
Cowboys,74,256,3.5,3,2,0,25T,15,20.3,0
Eagles,73,356,4.9,3,1,1,43,25,34.2,1
Falcons,71,341,4.8,3,2,0,22,22,31,0
Ravens,69,288,4.2,4,1,0,20T,18,26.1,1
Buccaneers,67,193,2.9,1,0,0,14,13,19.4,0
Rams,62,181,2.9,4,0,0,12,17,27.4,0
49ers,62,347,5.6,4,2,2,65T,16,25.8,1
Lions,61,220,3.6,2,0,0,18,13,21.3,1
Chargers,61,294,4.8,3,1,1,55,21,34.4,0
Saints,60,203,3.4,2,0,0,19,12,20,1
Bills,57,280,4.9,2,1,0,36,18,31.6,2
Titans,56,245,4.4,2,1,0,23T,15,26.8,0
Giants,55,235,4.3,2,0,0,18,16,29.1,1
Cardinals,54,247,4.6,2,4,0,29T,14,25.9,2
Packers,53,176,3.3,1,1,0,24,9,17,1
Jaguars,53,179,3.4,2,1,0,26T,10,18.9,1
Panthers,51,254,5,0,2,0,26,13,25.5,2
Commanders,51,214,4.2,3,1,0,27,18,35.3,1
Dolphins,50,215,4.3,3,1,1,43T,11,22,4
Texans,49,124,2.5,0,0,0,11,4,8.2,1
Colts,49,191,3.9,4,0,0,18,10,20.4,1
Patriots,47,164,3.5,1,0,0,18,15,31.9,0
Bears,45,189,4.2,2,1,0,29,13,28.9,1
Broncos,45,216,4.8,1,0,0,15T,15,33.3,0
Chiefs,45,191,4.2,0,1,0,31,13,28.9,0
Raiders,44,116,2.6,0,1,0,34,7,15.9,2
Jets,44,236,5.4,0,2,1,83,9,20.4,2
Seahawks,43,167,3.9,2,0,0,15,10,23.3,0
Bengals,35,141,4,0,1,0,22,6,17.1,0
Steelers,31,96,3.1,0,2,0,24,6,19.4,0
Vikings,26,69,2.6,0,0,0,9,2,7.7,2
