Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Redskins,14.1,32,452,2,4,3,78T,24,1
Chargers,13.2,36,475,2,4,2,90T,19,2
Raiders,12.2,40,487,0,5,1,48,14,2
Giants,12.1,32,388,2,5,2,68T,17,2
Rams,11.5,40,461,1,6,3,103T,10,5
Bills,10.4,33,343,0,2,1,57,8,2
Lions,10.2,25,256,0,2,0,24,12,0
Bengals,10.1,37,373,1,4,2,82T,18,3
Browns,10,46,462,2,4,3,92T,7,4
Eagles,9.3,41,381,0,5,3,49,18,1
Broncos,9.2,41,379,0,5,1,44,4,3
Cowboys,9.2,44,404,1,3,2,83T,14,5
Seahawks,9.1,37,337,0,2,0,31,23,1
Buccaneers,8.9,28,248,1,2,1,80T,8,1
Jets,8.8,39,345,0,3,0,26,5,5
Packers,8.4,49,414,1,3,1,85T,18,7
49ers,8.4,40,334,0,4,0,26,13,1
Patriots,8.3,46,383,0,3,0,38,16,4
Bears,8.1,27,218,1,2,1,61T,20,2
Colts,8.1,42,339,1,3,1,75T,8,3
Steelers,7.6,56,424,0,2,1,42,16,2
Chiefs,7.4,43,316,0,3,2,43,13,1
Dolphins,7.3,33,241,0,1,0,26,17,2
Cardinals,6.8,42,286,0,1,0,23,13,1
Vikings,6.1,39,238,0,2,0,25,16,4
Saints,6.1,25,152,0,2,0,35,10,5
Falcons,6.1,31,188,0,2,0,29,16,0
Oilers,5.6,50,281,1,2,1,78T,12,4
