Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Packers,354,4325,12.2,27,48,7,79,207,58.5,9
49ers,339,4584,13.5,35,58,18,95,209,61.6,6
Jets,338,3892,11.5,14,41,6,63,190,56.2,4
Redskins,337,4476,13.3,24,58,16,80,217,64.4,4
Dolphins,331,4302,13,26,57,10,78,201,60.7,5
Seahawks,316,3583,11.3,21,45,3,60,180,57,5
Falcons,312,3903,12.5,17,55,8,72,173,55.4,1
Browns,309,3625,11.7,20,37,9,97,161,52.1,6
Rams,308,4369,14.2,29,77,16,78,197,64,4
Patriots,302,3972,13.2,17,49,9,65,187,61.9,5
Buccaneers,302,3666,12.1,23,46,7,78T,174,57.6,6
Oilers,295,3786,12.8,23,44,11,55T,185,62.7,2
Eagles,294,3455,11.8,23,48,6,66T,171,58.2,5
Bengals,288,3950,13.7,32,50,14,74,183,63.5,0
Saints,284,3651,12.9,23,51,9,54,167,58.8,6
Bills,281,3831,13.6,32,54,11,78,177,63,8
Cardinals,279,3659,13.1,17,56,6,77,157,56.3,5
Vikings,272,3468,12.8,17,44,5,50T,172,63.2,3
Chargers,270,3291,12.2,15,51,9,69T,149,55.2,0
Bears,267,3262,12.2,21,47,12,79,147,55.1,6
Cowboys,266,3124,11.7,14,36,5,75,145,54.5,7
Chiefs,259,3220,12.4,14,46,5,50T,165,63.7,9
Broncos,256,3352,13.1,21,45,13,69,163,63.7,1
Colts,253,3134,12.4,18,40,12,82,140,55.3,6
Giants,248,3355,13.5,17,46,7,62,158,63.7,5
Lions,229,3282,14.3,11,50,8,75,139,60.7,8
Steelers,210,2662,12.7,10,33,6,79,117,55.7,3
Raiders,201,3277,16.3,21,53,11,84,143,71.1,4
