Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Patriots,610,302,49.5,6.5,3972,17,27,61.3,187,30.7,49,9,65,34,265
Dolphins,601,331,55.1,7.2,4302,26,25,74.9,201,33.4,57,10,78,10,86
Packers,600,354,59,7.2,4325,27,20,82.4,207,34.5,48,7,79T,48,277
Redskins,581,337,58,7.7,4476,24,17,84.1,217,37.4,58,16,80T,21,127
Falcons,578,312,54,6.8,3903,17,12,76.4,173,29.9,55,8,72T,51,389
Jets,570,338,59.3,6.8,3892,14,24,70.6,190,33.3,41,6,63T,62,477
Buccaneers,570,302,53,6.4,3666,23,28,66,174,30.5,46,7,78,43,331
Seahawks,559,316,56.5,6.4,3583,21,23,71.3,180,32.2,45,3,60T,46,379
Eagles,538,294,54.6,6.4,3455,23,16,76.2,171,31.8,48,6,66,45,343
Browns,529,309,58.4,6.8,3625,20,15,80.1,161,30.4,37,9,97,34,192
Rams,523,308,58.9,8.4,4369,29,18,90.1,197,37.7,77,16,78T,32,236
Cardinals,523,279,53.4,7,3659,17,30,62.6,157,30,56,6,77,56,379
Chargers,515,270,52.4,6.4,3291,15,19,66.7,149,28.9,51,9,69T,39,254
Bengals,513,288,56.1,7.7,3950,32,13,91.2,183,35.7,50,14,74,41,332
Cowboys,513,266,51.8,6.1,3124,14,27,57.8,145,28.3,36,5,75T,30,239
Vikings,499,272,54.5,7,3468,17,19,72,172,34.5,44,5,50T,40,279
Oilers,496,295,59.5,7.6,3786,23,16,85.5,185,37.3,44,11,55,37,287
Colts,493,253,51.3,6.4,3134,18,17,69.1,140,28.4,37,12,82T,28,174
Bears,484,267,55.2,6.7,3262,21,25,69.1,147,30.4,47,12,79,28,174
49ers,483,339,70.2,9.5,4584,35,11,114.8,209,43.3,58,18,95,45,282
Bills,478,281,58.8,8,3831,32,20,89.4,177,37,54,11,78,35,242
Broncos,474,256,54,7.1,3352,21,20,73.7,163,34.4,45,13,69T,43,351
Saints,461,284,61.6,7.9,3651,23,19,85.9,167,36.2,51,9,54,36,271
Lions,450,229,50.9,7.3,3282,11,24,60.8,139,30.9,50,8,75T,57,343
Giants,444,248,55.9,7.6,3355,17,16,77.9,158,35.6,46,7,62,46,281
Chiefs,435,259,59.5,7.4,3220,14,23,71.2,165,37.9,46,5,50,23,182
Raiders,414,201,48.6,7.9,3277,21,22,70.3,143,34.5,53,11,84,44,326
Steelers,404,210,52,6.6,2662,10,13,67.7,117,29,33,6,79T,51,484
