Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Chiefs,559,2227,4,18,7,1,59,120,21.5,16
Giants,556,1889,3.4,17,4,0,36,118,21.2,7
Broncos,554,2092,3.8,15,7,1,40,125,22.6,11
Eagles,540,2208,4.1,14,9,2,51T,120,22.2,22
Bills,532,2264,4.3,15,10,0,38,136,25.6,12
Bengals,529,2483,4.7,17,11,3,65T,136,25.7,20
Bears,516,2287,4.4,22,13,3,73,136,26.4,7
Vikings,514,2066,4,12,9,1,47,126,24.5,12
Redskins,514,1904,3.7,14,6,3,58T,102,19.8,8
Saints,502,1948,3.9,19,8,1,40,108,21.5,11
Steelers,500,1818,3.6,17,11,1,58T,106,21.2,18
Oilers,495,1928,3.9,16,8,1,60,112,22.6,20
49ers,493,1966,4,14,6,0,29,124,25.2,12
Patriots,485,1749,3.6,12,7,0,35,114,23.5,9
Rams,472,1909,4,19,9,3,47,107,22.7,13
Colts,458,1853,4,11,5,0,26T,118,25.8,18
Raiders,454,2038,4.5,9,9,4,92T,93,20.5,9
Browns,448,1609,3.6,14,7,1,43,101,22.5,12
Chargers,432,1873,4.3,13,8,2,50,95,22,12
Lions,421,2053,4.9,23,12,0,34T,117,27.8,17
Buccaneers,412,1507,3.7,10,5,2,48T,84,20.4,8
Cardinals,407,1361,3.3,10,2,1,44,83,20.4,9
Seahawks,405,1392,3.4,5,7,0,34,87,21.5,16
Dolphins,400,1330,3.3,10,2,0,25,89,22.2,13
Jets,400,1596,4,11,5,0,39,90,22.5,7
Packers,397,1732,4.4,13,8,1,68T,114,28.7,14
Cowboys,355,1409,4,7,7,3,63,78,22,12
Falcons,318,1155,3.6,11,4,0,22,75,23.6,8
