Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Chiefs,41,91.1,40,100,0,1
Rams,40,93,48,94.1,1,0
49ers,39,95.1,28,93.3,0,0
Patriots,37,92.5,45,95.7,1,0
Titans,35,83.3,31,93.9,0,0
Steelers,35,92.1,37,94.9,1,0
Falcons,34,87.2,35,100,0,0
Ravens,34,91.9,39,100,1,1
Vikings,32,84.2,34,87.2,0,0
Cardinals,32,80,23,88.5,0,0
Saints,31,86.1,47,94,1,0
Lions,30,85.7,40,97.6,0,2
Jaguars,30,85.7,37,90.2,0,1
Bills,29,87.9,29,100,0,0
Panthers,29,96.7,34,91.9,1,1
Colts,29,85.3,22,91.7,0,0
Eagles,29,85.3,40,90.9,0,0
Jets,25,83.3,29,100,0,0
Buccaneers,25,73.5,28,90.3,0,0
Broncos,24,75,27,100,0,0
Redskins,24,85.7,36,92.3,0,0
Cowboys,22,75.9,36,92.3,0,1
Dolphins,21,91.3,26,89.7,0,0
Seahawks,21,72.4,37,97.4,1,0
Texans,20,80,32,91.4,0,0
Chargers,20,66.7,37,88.1,0,1
Bengals,18,90,32,94.1,0,0
Giants,18,72,20,87,0,0
Bears,16,72.7,26,92.9,0,2
Raiders,16,76.2,33,97.1,0,0
Browns,15,75,25,96.2,0,0
Packers,15,79,33,94.3,0,0
