Team,INT,INT TD,INT Yds,Lng
Eagles,30,2,375,60
Browns,27,4,300,36
Redskins,27,3,284,59
Bears,26,1,268,43T
Packers,25,0,232,53
Chargers,25,0,224,34
Bills,23,1,269,43T
Giants,22,2,330,58
Bengals,21,1,204,28T
Broncos,21,2,318,50
Oilers,21,0,263,48
Colts,21,2,391,80
Rams,21,3,372,81
Saints,21,2,226,63
Steelers,21,0,261,39
49ers,21,0,262,42
Buccaneers,21,2,234,68
Falcons,20,0,285,40
Raiders,18,3,362,87
Vikings,18,2,264,90
Lions,16,1,107,36
Patriots,16,1,118,28T
Cardinals,16,2,275,53
Chiefs,15,0,133,27
Dolphins,15,0,126,28
Jets,15,2,261,92
Seahawks,9,0,57,20
Cowboys,7,0,37,18
