Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Giants,462,268,58,6.6,3062,14,25,65.6,143,31,0,0,81,40,348
Chargers,450,244,54.2,7.3,3305,23,28,69,147,32.7,0,0,77,19,171
Bears,443,186,42,5.2,2294,12,28,41.3,99,22.4,0,0,64T,49,392
Oilers,423,194,45.9,6.2,2643,12,37,39.4,117,27.7,0,0,70,31,234
Steelers,414,214,51.7,5.9,2446,15,26,55.7,111,26.8,0,0,49T,37,322
Bills,401,202,50.4,6,2410,12,32,45.8,96,23.9,0,0,75T,49,421
49ers,391,209,53.4,6.9,2688,18,24,65,122,31.2,0,0,71T,11,111
Eagles,390,200,51.3,6.5,2552,13,20,61.8,119,30.5,0,0,69T,26,229
Saints,387,182,47,6.1,2355,12,14,61.9,106,27.4,0,0,63T,50,400
Cardinals,385,170,44.2,6.9,2656,14,26,51.6,109,28.3,0,0,80,19,185
Browns,376,188,50,6.7,2521,14,27,54.2,127,33.8,0,0,53T,22,222
Rams,370,185,50,6.2,2304,18,11,73.5,111,30,0,0,68,26,210
Bengals,365,214,58.6,6.6,2427,15,11,79.8,115,31.5,0,0,90T,40,303
Cowboys,361,206,57.1,8.4,3037,22,14,88.8,144,39.9,0,0,85,32,251
Broncos,358,175,48.9,6.3,2243,8,27,45,105,29.3,0,0,74,22,178
Raiders,348,174,50,6.8,2363,21,26,61,110,31.6,0,0,67T,24,235
Colts,344,176,51.2,6.3,2152,10,21,55,104,30.2,0,0,64,27,230
Chiefs,337,183,54.3,8,2694,15,13,79.4,119,35.3,0,0,82,35,347
Vikings,334,157,47,5.7,1910,9,18,51.6,95,28.4,0,0,55,28,255
Redskins,334,182,54.5,7.2,2391,13,15,71.6,112,33.5,0,0,71T,17,118
Patriots,330,159,48.2,6.7,2206,19,16,69.1,94,28.5,0,0,88T,36,319
Lions,299,157,52.5,8.2,2453,17,14,79.5,104,34.8,0,0,76T,31,252
Dolphins,293,156,53.2,7.7,2248,20,10,87,94,32.1,0,0,86T,25,265
Falcons,285,167,58.6,8.8,2495,16,21,75.4,108,37.9,0,0,84,31,239
Jets,278,119,42.8,5.6,1556,15,16,55.1,67,24.1,0,0,74T,23,177
Packers,254,121,47.6,7.2,1842,12,24,48.4,87,34.2,0,0,77T,18,157
