Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Lions,532,2376,4.5,15,0,0,52T,131,24.6,0
Cowboys,512,2249,4.4,25,0,0,56T,135,26.4,0
Broncos,512,2093,4.1,9,0,0,40,102,19.9,0
Colts,512,2149,4.2,23,0,0,67,123,24,0
Packers,500,2229,4.5,18,0,0,52,115,23,0
49ers,498,2129,4.3,12,0,0,49T,113,22.7,0
Falcons,494,1703,3.4,12,0,0,27,99,20,0
Chiefs,487,1843,3.8,14,0,0,27T,108,22.2,0
Dolphins,486,2429,5,11,0,0,51,121,24.9,0
Jets,485,1888,3.9,12,0,0,63T,115,23.7,0
Vikings,484,1695,3.5,14,0,0,73,89,18.4,0
Redskins,477,1757,3.7,8,0,0,57,77,16.1,0
Raiders,473,2130,4.5,19,0,0,39,128,27.1,0
Bengals,462,2142,4.6,14,0,0,86T,109,23.6,0
Browns,461,1558,3.4,19,0,0,35,89,19.3,0
Rams,460,2139,4.6,15,0,0,80,105,22.8,0
Saints,452,1711,3.8,18,0,0,39,105,23.2,0
Patriots,419,1669,4,7,0,0,50T,85,20.3,0
Cardinals,417,1530,3.7,8,0,0,40T,86,20.6,0
Steelers,416,1758,4.2,10,0,0,39,98,23.6,0
Eagles,407,1248,3.1,6,0,0,39T,65,16,0
Giants,394,1461,3.7,11,0,0,37,83,21.1,0
Chargers,390,1604,4.1,11,0,0,54,86,22,0
Bears,365,1434,3.9,6,0,0,40,75,20.6,0
Oilers,361,1106,3.1,10,0,0,31,62,17.2,0
Bills,320,1337,4.2,6,0,0,46T,68,21.2,0
