Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Giants,268,3062,11.4,14,0,0,81,143,53.4,0
Chargers,244,3305,13.6,23,0,0,77,147,60.2,0
Bengals,214,2427,11.3,15,0,0,90,115,53.7,0
Steelers,214,2446,11.4,15,0,0,49,111,51.9,0
49ers,209,2688,12.9,18,0,0,71,122,58.4,0
Cowboys,206,3037,14.7,22,0,0,85,144,69.9,0
Bills,202,2410,11.9,12,0,0,75,96,47.5,0
Eagles,200,2552,12.8,13,0,0,69,119,59.5,0
Oilers,194,2643,13.6,12,0,0,70,117,60.3,0
Browns,188,2521,13.4,14,0,0,53,127,67.6,0
Bears,186,2294,12.3,12,0,0,64,99,53.2,0
Rams,185,2304,12.4,18,0,0,68,111,60,0
Chiefs,183,2694,14.7,15,0,0,82,119,65,0
Saints,182,2355,12.9,12,0,0,63,106,58.2,0
Redskins,182,2391,13.1,13,0,0,71,112,61.5,0
Colts,176,2152,12.2,10,0,0,64,104,59.1,0
Broncos,175,2243,12.8,8,0,0,74,105,60,0
Raiders,174,2363,13.6,21,0,0,67,110,63.2,0
Cardinals,170,2656,15.6,14,0,0,80,109,64.1,0
Falcons,167,2495,14.9,16,0,0,84,108,64.7,0
Patriots,159,2206,13.9,19,0,0,88,94,59.1,0
Lions,157,2453,15.6,17,0,0,76,104,66.2,0
Vikings,157,1910,12.2,9,0,0,55T,95,60.5,0
Dolphins,156,2248,14.4,20,0,0,86,94,60.3,0
Packers,121,1842,15.2,12,0,0,77,87,71.9,0
Jets,119,1556,13.1,15,0,0,74,67,56.3,0
