Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Titans,543,2109,3.9,17,11,1,42T,118,21.7,12
Jaguars,522,2391,4.6,18,16,6,80,127,24.3,4
Steelers,511,2168,4.2,9,16,1,45,108,21.1,7
Raiders,508,2086,4.1,11,13,1,48,111,21.8,13
Redskins,498,1871,3.8,15,6,0,32,103,20.7,15
Vikings,494,2634,5.3,22,21,6,84,130,26.3,13
Chargers,485,2039,4.2,19,16,4,74,104,21.4,7
Giants,469,2148,4.6,15,11,4,88,119,25.4,11
Panthers,451,1824,4,7,7,1,75,85,18.8,7
Patriots,451,1849,4.1,17,4,3,59,124,27.5,2
Buccaneers,449,1872,4.2,15,14,0,31T,98,21.8,6
Bills,448,1800,4,8,10,2,56,91,20.3,5
Ravens,446,1797,4,11,7,1,46,95,21.3,10
Colts,446,1706,3.8,19,4,0,23,119,26.7,1
Jets,446,1701,3.8,6,4,1,49,91,20.4,7
Browns,440,1895,4.3,13,9,2,66T,110,25,7
Seahawks,430,1619,3.8,9,10,2,46,93,21.6,7
Broncos,429,1957,4.6,10,18,3,62T,96,22.4,13
Bears,423,1330,3.1,8,6,1,43T,74,17.5,13
Eagles,421,1974,4.7,12,17,1,40T,118,28,3
Cowboys,419,1746,4.2,14,12,2,54,83,19.8,4
Texans,417,1586,3.8,12,7,1,41T,96,23,4
Bengals,416,1556,3.7,10,5,1,45,81,19.5,6
Rams,404,1527,3.8,5,10,5,54,65,16.1,8
Cardinals,402,1440,3.6,9,5,0,27,69,17.2,14
Saints,392,1466,3.7,14,5,0,26,94,24,10
Dolphins,389,1569,4,14,9,1,60T,107,27.5,8
Packers,388,1597,4.1,13,15,4,66T,69,17.8,7
Falcons,385,1520,4,7,11,2,67T,73,19,5
Chiefs,383,1248,3.3,6,5,1,54,66,17.2,2
Niners,357,1477,4.1,8,9,1,43T,65,18.2,11
Lions,324,1288,4,13,8,1,53T,73,22.5,13
