Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Jets,23,65,1498,1,32,8,97T,0,3
49ers,22.1,47,1039,0,26,5,51,0,3
Raiders,21.7,56,1216,0,35,3,62,0,1
Rams,21.4,58,1244,1,36,3,43T,0,1
Cardinals,21.1,74,1563,0,43,2,56,0,0
Chargers,20.9,63,1319,0,37,2,55,0,4
Vikings,20.6,86,1775,0,42,3,47,0,1
Saints,20.4,72,1465,0,32,2,64,0,0
Packers,20.3,67,1362,1,28,4,97T,0,1
Broncos,19.9,45,897,0,25,1,40,0,4
Buccaneers,19.9,68,1354,0,36,2,43,0,3
Patriots,19.8,63,1246,0,32,2,46,0,1
Oilers,19.6,69,1352,0,33,1,49,0,1
Eagles,19.6,59,1156,1,21,3,89T,0,3
Redskins,19.6,60,1174,0,28,0,36,0,1
Falcons,19.5,70,1367,0,36,3,50,0,3
Colts,19.3,69,1331,1,26,3,96T,0,3
Cowboys,19,63,1199,0,33,0,34,0,4
Steelers,19,54,1026,0,27,2,47,0,6
Browns,19,61,1157,0,28,1,40,0,4
Chiefs,19,56,1061,0,25,1,45,0,1
Bengals,18.9,61,1155,0,24,4,46,0,5
Bills,18.7,76,1422,0,27,3,65,0,1
Seahawks,18.6,54,1007,0,23,0,38,0,2
Giants,18.3,61,1117,0,23,1,52,0,2
Bears,18.3,49,896,0,18,1,40,2,1
Lions,18.2,74,1347,0,34,1,46,0,6
Dolphins,18.2,44,799,0,17,2,41,0,2
