Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Bills,3222,1133,186,121,149,53.4,128,22.7,1094
Bengals,3157,1373,159,67,190,60.1,114,23.8,1088
Broncos,3135,1537,150,82,180,55,134,25.5,1092
Patriots,3108,1151,459,259,206,55.1,103,24.1,1085
Vikings,3105,1312,64,37,186,56.2,75,17.2,1030
Chargers,3071,1048,211,121,168,53.5,80,19.4,1022
Bears,3062,1034,369,268,176,55.4,104,22,1045
Panthers,3042,1136,173,81,160,58.6,93,18.5,1025
Cardinals,3039,1278,225,146,214,63.7,70,17.5,1050
Jets,3015,1241,283,115,191,56.3,94,23.1,1077
Raiders,3003,1222,186,120,172,55.3,98,21.5,1034
Buccaneers,2979,1188,315,121,152,55.5,90,19.1,996
Packers,2972,1328,147,67,197,60.1,118,25.4,1053
Dolphins,2962,1196,257,108,173,57.7,92,20,1000
Eagles,2959,1120,202,81,196,59.8,107,21.9,1076
Chiefs,2939,1029,223,105,168,57.9,111,22.8,1045
Giants,2933,816,267,122,145,60.9,82,16.9,1000
49ers,2917,1029,255,162,188,52.5,108,23.8,1046
Cowboys,2909,1219,110,54,163,53.1,105,22.1,981
Rams,2854,1074,239,113,141,56.6,93,20.8,986
Steelers,2810,1145,131,53,146,59.4,138,26.3,1002
Colts,2797,1057,151,64,172,55.3,89,21.2,1000
Jaguars,2781,1162,106,65,208,58.9,90,20.9,1038
Redskins,2740,1049,121,95,174,64.4,106,22.7,961
Seahawks,2739,830,218,93,147,56.3,94,21.3,974
Oilers,2643,1029,139,88,157,57.7,110,23.2,972
Ravens,2641,1152,130,53,208,62.1,108,26,1024
Saints,2598,816,237,75,135,45.8,77,20,923
Falcons,2506,996,123,49,202,56.7,67,20.4,971
Lions,2422,931,250,112,180,58.2,105,27,976
