Team,INT,INT TD,INT Yds,Lng
Bills,8,1,74,32T
49ers,8,0,118,28
Cowboys,7,2,126,54T
Saints,7,1,32,27T
Bengals,6,1,31,20T
Buccaneers,6,1,52,26T
Lions,5,1,101,50T
Jaguars,5,1,79,61T
Jets,5,0,1,1
Steelers,5,1,30,30T
Ravens,4,0,124,52
Panthers,4,1,141,99T
Packers,4,1,65,37T
Raiders,4,0,44,24
Cardinals,4,0,38,35
Falcons,3,0,3,3
Bears,3,0,42,42
Broncos,3,0,5,5
Texans,3,0,33,33
Colts,3,0,44,34
Chargers,3,0,17,9
Seahawks,3,2,158,97
Rams,2,0,0,0
Dolphins,2,0,5,5
Giants,2,1,109,102T
Eagles,2,1,70,70T
Commanders,2,0,3,3
Browns,1,0,0,0
Titans,1,0,10,10
Chiefs,1,0,16,16
Vikings,1,0,0,0
Patriots,1,0,0,0
