Team,FF,FR,FR TD
Steelers,11,6,1
Eagles,10,5,0
Bills,8,4,0
Colts,8,4,1
Titans,7,3,0
Texans,7,4,0
Vikings,7,2,1
Cowboys,6,3,1
Jaguars,6,6,0
Broncos,5,2,1
Chiefs,5,5,0
Dolphins,5,3,0
Commanders,5,3,0
Patriots,4,1,0
Jets,4,4,1
Seahawks,4,3,0
Buccaneers,4,4,0
Falcons,3,1,0
Ravens,3,2,0
Bears,3,1,0
Bengals,3,2,0
Lions,3,2,0
Giants,3,1,0
Cardinals,3,2,1
Chargers,3,4,0
Browns,2,2,0
Rams,2,1,0
Panthers,1,0,0
Packers,1,1,0
Saints,1,2,0
49ers,1,1,0
Raiders,0,0,0
