Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Texans,68,32,2,0,36,25.2,313
Patriots,67,23,4,1,29,19.5,322
Saints,73,23,6,2,21,17.8,304
Cowboys,60,21,9,4,30,21.7,286
Giants,59,25,4,1,40,27.8,298
Eagles,66,30,10,6,17,18.9,306
Steelers,68,26,8,2,35,23.2,350
Ravens,86,35,7,3,26,20.3,343
Panthers,57,17,5,3,42,29,297
Rams,63,25,4,2,34,24.5,310
Bengals,63,26,5,2,39,26.9,313
Colts,74,29,9,5,36,23.1,356
Jaguars,64,26,8,3,24,21.8,300
Chiefs,65,23,12,6,24,21.4,310
Lions,60,22,5,3,25,24.3,312
Packers,72,25,10,8,47,28,345
Falcons,64,21,5,1,25,18,305
Bears,68,39,4,2,32,24.2,317
Bills,57,22,5,1,29,25.2,283
Titans,65,25,6,4,25,19.1,308
Jets,72,33,0,0,40,24.5,343
Vikings,71,31,7,5,38,25.7,339
Cardinals,59,28,6,2,46,30.9,339
Commanders,68,28,7,5,39,27.9,316
Browns,53,12,3,2,12,13.5,207
Buccaneers,57,27,5,3,23,25,253
Broncos,54,22,8,4,43,27.2,324
Raiders,65,27,7,5,36,24,312
Chargers,47,15,8,6,29,28.7,275
49ers,67,27,9,4,24,27.6,301
Dolphins,69,29,6,2,40,28,330
Seahawks,63,33,9,4,23,20.9,291
