Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Oilers,373,4231,11.3,27,49,8,72,217,58.2,6
Packers,340,3498,10.3,20,31,9,76,171,50.3,5
Falcons,336,3892,11.6,33,48,6,89,194,57.7,8
Dolphins,332,4148,12.5,24,45,12,62,194,58.4,8
49ers,319,4054,12.7,29,61,10,80,192,60.2,6
Cowboys,314,3597,11.5,23,40,8,87,183,58.3,4
Colts,305,3584,11.8,13,44,4,81,174,57,1
Buccaneers,299,3399,11.4,17,43,5,81,165,55.2,3
Cardinals,298,3344,11.2,15,36,10,72,161,54,8
Bills,293,3678,12.6,23,42,9,65,192,65.5,9
Rams,289,3422,11.8,23,39,6,67,174,60.2,6
Chargers,282,3614,12.8,16,43,11,67T,161,57.1,2
Redskins,272,3339,12.3,15,41,10,62,160,58.8,3
Bears,266,3334,12.5,17,39,10,83,157,59,1
Broncos,258,3312,12.8,16,45,11,81,135,52.3,4
Vikings,258,3162,12.3,18,42,7,60,157,60.8,3
Eagles,255,3054,12,20,39,11,75,138,54.1,1
Saints,251,3297,13.1,19,48,8,72,155,61.8,5
Jets,251,2962,11.8,12,36,4,55,137,54.6,2
Steelers,249,3046,12.2,15,39,7,51,143,57.4,7
Patriots,244,2492,10.2,13,26,3,65,130,53.3,5
Browns,238,3102,13,18,39,12,69,141,59.2,5
Raiders,233,2950,12.7,20,34,7,68,139,59.7,4
Giants,232,2628,11.3,14,38,3,46,119,51.3,5
Lions,231,3150,13.6,16,35,13,78,133,57.6,3
Chiefs,230,3115,13.5,15,44,11,77,134,58.3,5
Seahawks,230,2323,10.1,9,21,1,57,114,49.6,6
Bengals,227,2284,10.1,16,20,1,83,114,50.2,3
