Team,Rsh TD,Rec TD,Tot TD,2-PT
49ers,22,29,53,0
Cowboys,20,23,47,0
Giants,20,14,36,0
Vikings,19,18,43,0
Eagles,19,20,43,0
Bills,18,23,43,0
Chargers,18,16,36,0
Bears,15,17,33,0
Chiefs,14,15,38,0
Steelers,13,15,30,0
Rams,12,23,38,0
Buccaneers,12,17,30,0
Bengals,11,16,29,0
Broncos,11,16,28,0
Cardinals,11,15,29,0
Oilers,10,27,38,0
Saints,10,19,32,0
Redskins,10,15,29,0
Lions,9,16,29,0
Dolphins,9,24,36,0
Colts,8,13,24,0
Jets,8,12,23,0
Browns,7,18,27,0
Packers,7,20,29,0
Raiders,7,20,29,0
Patriots,6,13,23,0
Seahawks,4,9,13,0
Falcons,3,33,38,0
