Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Falcons,32,80,42,97.7,1,0
Buccaneers,32,82,32,100,0,1
Saints,31,88.6,37,100,2,1
Eagles,30,88.2,43,100,0,1
Steelers,29,72.5,35,94.6,1,0
Packers,28,82.4,44,100,0,0
Patriots,27,90,36,100,2,0
Broncos,26,72.2,42,97.7,0,0
Raiders,26,78.8,50,100,1,2
Giants,26,81.2,30,93.8,0,0
49ers,26,72.2,39,100,0,1
Bills,25,75.8,40,100,1,0
Titans,25,80.6,36,100,0,0
Dolphins,24,77.4,42,97.7,0,0
Jets,24,77.4,35,94.6,2,2
Lions,23,82.1,31,100,0,2
Colts,23,74.2,34,100,0,0
Chiefs,23,85.2,54,100,1,2
Vikings,23,79.3,41,93.2,0,0
Seahawks,23,79.3,38,100,1,1
Bears,22,78.6,29,100,0,0
Browns,22,78.6,34,97.1,1,2
Ravens,21,80.8,33,100,0,1
Jaguars,19,70.4,33,100,0,1
Rams,19,76,37,100,0,1
Chargers,18,69.2,35,97.2,0,0
Texans,17,70.8,20,100,0,1
Redskins,16,64,33,97.1,0,1
Panthers,15,60,29,100,0,2
Bengals,15,83.3,30,93.8,1,0
Cardinals,15,71.4,29,100,1,0
Cowboys,12,63.2,25,100,2,0
