Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Jets,16,29,464,2,10,2,63T,12,3
49ers,14.1,28,395,1,6,3,89T,12,1
Saints,13.9,45,625,1,7,3,83,6,5
Chiefs,13.4,29,390,2,3,2,90T,11,2
Browns,13.2,33,434,2,5,2,87T,14,2
Eagles,12.1,47,567,1,7,2,76,11,3
Rams,11.5,33,380,1,5,3,78T,16,2
Ravens,11.3,34,384,1,4,2,95T,14,3
Jaguars,11.1,28,311,1,3,2,69T,17,3
Raiders,11,29,318,2,4,2,83,26,5
Redskins,10.5,43,450,1,5,1,90T,13,4
Seahawks,10.2,25,256,1,2,1,61T,23,2
Falcons,10.2,32,325,0,5,0,36,13,2
Vikings,10.1,28,283,0,2,2,61,20,1
Buccaneers,9.8,44,430,1,5,3,56T,20,0
Texans,9.7,53,512,1,5,3,76T,20,5
Bears,9.4,38,359,0,5,0,30,12,3
Dolphins,9.4,31,293,0,3,0,34,17,2
Patriots,8.8,34,298,0,2,1,40,14,2
Lions,8.6,42,363,2,3,2,73,17,3
Panthers,8.5,57,487,2,4,2,87T,16,5
Chargers,8.5,37,315,0,4,0,37T,15,4
Cowboys,8.3,39,325,0,6,1,71,19,3
Broncos,8.1,34,275,0,3,2,53,7,3
Titans,7.8,28,217,0,2,0,30,22,2
Colts,7.6,37,282,0,3,0,34,16,4
Giants,7.6,32,243,0,3,0,37,22,3
Steelers,6.9,42,290,0,3,0,29,13,4
Cardinals,6.1,36,221,0,1,0,22,4,2
Bills,5.2,30,157,0,0,0,16,11,1
Bengals,4.7,28,131,0,1,0,34,9,4
Packers,4.2,46,191,0,2,0,27,11,6
