Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Falcons,38.7,2595,67,41.8,59,2804,21,4,11,5,24,23,109,0,0
Lions,38,3459,91,42.2,57,3838,29,2,15,7,14,53,239,0,0
Panthers,37.9,3941,104,45.5,67,4735,31,7,15,12,7,63,554,0,1
Jaguars,37.6,3044,81,44.2,64,3583,27,3,18,10,11,39,339,0,0
Texans,37.5,4272,114,41.4,62,4720,36,1,15,6,34,58,328,0,2
Bears,37.4,3253,87,42.3,75,3679,26,10,10,2,19,46,386,0,0
Seahawks,37,2260,61,41.7,58,2542,22,9,12,4,19,17,202,1,0
Saints,36.7,2531,69,41.4,59,2860,16,4,7,6,14,38,209,0,0
Bills,36.5,2410,66,43.1,84,2844,18,8,9,7,13,29,294,0,1
Vikings,35.8,2223,62,39.9,59,2474,21,3,11,6,21,21,131,0,1
Packers,35.7,2819,79,41.7,57,3296,26,2,8,6,22,41,357,1,0
Cardinals,35.4,3117,88,43.9,58,3864,28,4,14,10,18,42,547,3,1
Colts,35.4,2336,66,40.5,69,2672,26,8,5,9,17,27,156,0,1
Buccaneers,35.2,3206,91,42.6,71,3879,31,14,18,12,5,42,433,0,0
Chargers,35.1,3051,87,40.7,63,3540,31,11,6,6,28,36,369,1,2
Browns,34.9,2896,83,41.2,59,3424,29,7,16,6,12,42,408,1,0
Jets,34.8,2229,64,40.8,65,2612,14,7,10,9,5,33,203,0,0
Ravens,34.5,2830,82,41.5,61,3401,32,5,18,5,14,40,471,2,2
Dolphins,34.5,2379,69,40.2,56,2772,15,12,8,6,4,39,273,0,0
Titans,34.4,2235,65,41.9,56,2725,28,2,11,5,19,28,390,3,1
Broncos,34,1802,53,40.5,63,2145,14,4,10,6,10,23,223,0,2
Patriots,33.7,2362,70,38.9,55,2723,19,3,16,9,18,24,181,0,1
Steelers,33.7,2092,62,41.7,62,2583,15,5,7,6,12,32,371,1,1
Cowboys,33.3,3731,112,40.8,60,4568,25,6,18,10,20,58,637,0,1
Raiders,33.2,1926,58,42.5,70,2463,19,7,7,12,11,21,297,0,1
Rams,32.7,2357,72,41.9,64,3020,26,5,13,10,10,34,463,1,0
Eagles,32.6,2577,79,40.5,63,3197,25,4,15,10,20,30,420,2,0
Giants,32.5,2309,71,37.4,65,2659,21,7,12,6,16,30,230,0,0
49ers,32.1,2054,64,39,60,2493,17,4,6,4,13,37,359,2,1
Chiefs,31.7,2028,64,37.8,56,2422,15,9,12,6,10,27,274,0,1
Redskins,30.4,2188,72,39.6,74,2855,18,10,12,8,5,37,507,1,1
Bengals,29.1,2096,72,38.7,57,2787,12,6,13,4,8,41,611,3,1
