Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Raiders,97,6460,22,22.7,74,24.7,0,0,1,1
Chiefs,96,5775,7,7.3,88,21.4,1,0,0,0
Saints,95,6196,8,8.4,85,21.4,1,0,1,0
Falcons,92,5905,16,17.4,73,22,1,1,2,0
Eagles,89,5530,10,11.2,76,21.5,2,1,2,1
Broncos,86,5453,4,4.6,81,22,0,0,1,0
Packers,85,5187,2,2.4,83,21.7,1,0,0,0
Vikings,85,5122,5,5.9,76,23,4,1,1,2
Bills,84,4932,2,2.4,76,21.5,2,1,4,2
Titans,84,5375,9,10.7,74,20,1,1,0,0
Dolphins,84,5365,12,14.3,69,22.3,1,1,2,0
Steelers,84,4758,2,2.4,78,21.4,3,0,2,1
Patriots,83,5010,6,7.2,73,20.4,1,0,3,0
49ers,82,5017,6,7.3,73,22.8,1,0,2,1
Buccaneers,81,5224,6,7.4,72,21.8,1,0,2,0
Jets,79,4926,5,6.3,74,21.3,0,0,0,1
Seahawks,79,4582,0,0,73,21.8,4,1,2,2
Browns,77,4597,7,9.1,67,20.4,1,1,1,0
Colts,77,4545,1,1.3,74,20.5,1,0,1,0
Giants,77,4648,2,2.6,74,22.4,0,0,1,0
Lions,74,4775,5,6.8,68,22.9,1,0,0,0
Chargers,74,4617,16,21.6,53,20,1,0,3,0
Ravens,73,4362,4,5.5,67,22.6,1,0,1,1
Jaguars,71,3968,7,9.9,59,19.5,4,0,1,0
Rams,71,4390,9,12.7,57,23.8,3,2,2,2
Bears,68,4088,2,2.9,61,22.3,3,0,2,0
Redskins,67,4152,5,7.5,62,22.4,0,0,0,1
Bengals,65,3562,3,4.6,57,20.9,3,1,0,1
Panthers,61,3759,7,11.5,50,18.5,0,0,4,0
Cardinals,61,3648,0,0,58,24.3,0,0,3,0
Texans,57,3455,2,3.5,52,22.2,2,0,1,1
Cowboys,55,3429,5,9.1,48,22.8,2,1,0,0
