Team,FF,FR,FR TD
Falcons,0,16,2
Bills,0,15,0
Bears,0,14,0
Bengals,0,16,3
Browns,0,12,0
Cowboys,0,15,0
Broncos,0,16,0
Lions,0,16,0
Packers,0,17,0
Oilers,0,8,1
Colts,0,9,0
Chiefs,0,12,1
Rams,0,16,1
Raiders,0,8,0
Dolphins,0,15,0
Vikings,0,16,3
Patriots,0,17,0
Saints,0,16,1
Giants,0,13,0
Jets,0,11,0
Eagles,0,18,1
Cardinals,0,14,1
Steelers,0,15,0
Chargers,0,15,1
49ers,0,20,0
Redskins,0,13,0
