Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Dave Jennings,44.8,36.6,3445,94,63,4211,16,7,12,13,4,58,506,0,0
Luke Prestridge,43.9,35.9,2512,70,57,3075,10,4,4,6,4,52,443,1,0
Ray Guy,43.6,35.9,2551,71,66,3099,18,13,4,14,6,34,268,0,0
George Roberts,42.6,36.1,2780,79,71,3279,18,7,11,8,9,42,339,0,2
Chuck Ramsey,42.4,34.6,2527,74,59,3096,15,3,7,10,7,46,369,1,1
Tom Blanchard,42.3,33.6,2953,89,62,3722,18,10,8,12,4,54,529,1,1
Tom Skladany,42.2,35.8,2576,73,67,3036,16,9,9,8,8,38,300,1,1
Herman Weaver,41.8,32.6,2182,69,62,2798,14,3,6,7,9,42,476,0,2
Larry Swider,41.5,32,3166,100,66,4111,12,6,4,15,12,62,645,1,1
Jim Miller,40.9,32.8,2522,77,65,3152,11,7,6,5,11,48,530,0,0
Danny White,40.9,34.8,2468,71,58,2903,17,9,9,11,10,32,215,0,0
Pat McInally,40.8,32.2,2674,85,61,3390,21,7,13,12,6,45,476,0,2
Craig Colquitt,40.7,35.5,2166,61,54,2483,13,8,7,5,8,34,217,0,0
Cliff Parsley,40.7,32.4,2173,67,57,2727,19,5,5,8,9,40,394,0,0
Bob Parsons,40.6,32.8,2592,79,61,3207,16,5,11,10,7,46,415,0,0
Frank Corral,39.5,33.5,2549,77,65,3002,14,17,7,5,5,42,353,0,1
Bob Grupp,39.5,34.1,2868,85,57,3317,23,17,4,8,11,44,289,0,1
Russell Erxleben,39.3,33.1,2949,89,57,3499,23,4,14,3,20,48,490,1,0
Max Runager,39.3,34.2,2563,76,58,2947,16,11,12,8,9,35,224,0,1
Mike Connell,39.2,33.4,2840,85,57,3331,11,4,8,7,14,52,351,0,0
Rick Partridge,39.1,32.1,1928,61,55,2347,10,4,5,3,5,43,359,0,1
John James,39.1,34.3,2707,79,59,3087,25,5,13,7,18,36,240,0,0
Mike Bragg,39.1,33.2,2726,84,59,3203,22,6,8,6,13,49,357,1,2
Greg Coleman,38.8,33.6,2720,81,65,3139,20,13,6,8,12,42,259,0,0
Greg Cater,38.7,31.6,2304,74,61,2828,12,2,15,16,6,34,204,0,1
Johnny Evans,38.3,32.5,2145,66,56,2530,12,5,10,7,6,38,245,0,0
David Beverly,38.3,32.9,2832,86,55,3294,18,7,11,6,12,50,342,0,0
Mike Hubach,38,33.6,2115,63,69,2392,12,9,11,2,13,28,237,0,0
Terry Bradshaw,34.6,34.6,173,5,44,173,0,3,1,0,0,0,0,0,0
Jim Breech,33.5,22.5,45,2,37,67,1,0,0,1,0,1,2,0,0
Chester Marcol,33,13,13,1,33,33,0,0,0,1,0,0,0,0,0
Efren Herrera,29,29,29,1,29,29,1,0,1,0,0,0,0,0,0
