Player,Comb,Asst,Solo,Sck
Carl Barisich,0,0,0,0
Mike Barnes,0,0,0,0
Bob Baumhower,0,0,0,0
Matt Blair,0,0,0,0
Eddie Cole,0,0,0,0
Bob Glazebrook,0,0,0,0
Ted Hendricks,0,0,0,0
Randy Holloway,0,0,0,0
Derrick Jensen,0,0,0,0
Ken Johnson,0,0,0,0
Rulon Jones,0,0,0,0
Frank Marion,0,0,0,0
Steve Nelson,0,0,0,0
McDonald Oden,0,0,0,0
Jim Osborne,0,0,0,0
Alan Page,0,0,0,0
Bob Pollard,0,0,0,0
Elex Price,0,0,0,0
Don Reese,0,0,0,0
Joe Senser,0,0,0,0
Bill Simpson,0,0,0,0
Jim Stuckey,0,0,0,0
Loren Toews,0,0,0,0
Mike White,0,0,0,0
Joel Williams,0,0,0,0
Mike Williams,0,0,0,0
Reggie Williams,0,0,0,0
Jack Youngblood,0,0,0,0
