Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Mike Harden,18,2,36,0,0,0,23,0,0
J.T. Smith,14.5,40,581,2,0,0,75,8,0
Kenny Johnson,12.2,23,281,0,0,0,56,5,0
Jimmy Robinson,12,3,36,0,0,0,21,0,0
Roland Hooks,11.2,8,90,0,0,0,17,2,0
Freddie Solomon,11,27,298,2,0,0,57,2,0
Roy Green,10.5,16,168,1,0,0,57,6,0
Johnnie Gray,10.2,4,41,0,0,0,16,2,0
James Jones,10.2,54,548,0,0,0,52,4,0
Mike Nelms,10.2,48,487,0,0,0,64,5,0
Rich Mauti,10.1,11,111,0,0,0,18,5,0
Roland James,10,33,331,1,0,0,75,3,0
Rickey Watts,10,2,20,0,0,0,11,0,0
Theo Bell,10,34,339,0,0,0,27,6,0
Mike Fuller,9.9,30,298,0,0,0,31,12,0
Reggie Smith,9.7,27,262,0,0,0,25,4,0
Dave Waymer,9.7,3,29,0,0,0,14,0,0
Ray Williams,9.6,27,259,0,0,0,53,4,0
Rick Upchurch,9.5,37,353,0,0,0,34,6,0
Mark Bell,9.3,21,195,0,0,0,54,3,0
John Sciarra,9.2,36,330,0,0,0,32,1,0
Ira Matthews,8.8,48,421,0,0,0,34,7,0
Bruce Harper,8.6,28,242,0,0,0,24,7,0
Wally Henry,8.5,26,222,0,0,0,30,1,0
Will Lewis,8.5,41,349,1,0,0,75,9,0
Mike Haynes,8.2,17,140,0,0,0,35,2,0
Alvin Garrett,8.2,35,287,0,0,0,66,11,0
Ron Cassidy,8.2,17,139,0,0,0,20,5,0
Carl Roaches,8.2,47,384,0,0,0,68,6,0
Nesby Glasgow,8.1,23,187,0,0,0,20,15,0
Ricky Churchman,8,2,16,0,0,0,13,0,0
Louie Giammona,8,1,8,0,0,0,8,0,0
Roland Solomon,8,1,8,0,0,0,8,0,0
Tony Nathan,7.7,23,178,0,0,0,30,11,0
Fred Nixon,7.7,11,85,0,0,0,16,2,0
Lou Piccone,7.5,2,15,0,0,0,8,3,0
Beasley Reece,7.5,2,15,0,0,0,15,1,0
Eddie Payton,7.4,34,251,0,0,0,19,9,0
John Arnold,7.3,28,204,0,0,0,19,6,0
Len Walterscheid,7.2,33,239,0,0,0,25,11,0
Cleo Montgomery,7.2,31,223,0,0,0,42,7,0
LeRoy Irvin,7,42,296,0,0,0,26,7,0
Dave Preston,7,1,7,0,0,0,7,0,0
Dino Hall,6.8,6,41,0,0,0,14,3,0
Ken Schroy,6.8,4,27,0,0,0,15,0,0
Mark Lee,6.4,5,32,0,0,0,17,0,0
Marvin Cobb,6.3,3,19,0,0,0,13,0,0
Larry Brunson,6,2,12,0,0,0,12,0,0
Danny Reece,5.5,57,313,0,0,0,19,1,0
Joe Cribbs,5.3,29,154,0,0,0,16,7,0
Nick Giaquinto,5,7,35,0,0,0,15,1,0
Lee Nelson,5,1,5,0,0,0,5,0,0
Frank Pollard,5,1,5,0,0,0,5,0,0
Billy Waddy,5,2,10,0,0,0,10,0,0
Jo Jo Heath,4.8,6,29,0,0,0,11,1,0
Dwight Hicks,4.8,12,58,0,0,0,10,3,0
Wes Chandler,4.5,8,36,0,0,0,11,6,0
Keith Wright,4.4,29,129,0,0,0,15,4,0
Glen Edwards,4.2,4,17,0,0,0,8,1,0
Preston Brown,4.2,10,42,0,0,0,14,1,0
Pete Shaw,4,5,20,0,0,0,6,0,0
Jim Smith,4,7,28,0,0,0,11,0,0
Matt Suhey,4,1,4,0,0,0,4,0,0
Vaughn Lusby,3.5,4,14,0,0,0,14,1,0
Mike Guman,3,2,6,0,0,0,3,1,0
Johnnie Johnson,3,1,3,0,0,0,3,4,0
Willard Harrell,2.8,11,31,0,0,0,15,4,0
Bob Ferrell,1,1,1,0,0,0,1,0,0
Kim Anderson,0.3,3,1,0,0,0,1,0,0
Carl Allen,0,1,0,0,0,0,0,0,0
Don Bessillieu,0,1,0,0,0,0,0,8,0
Glenn Blackwood,0,1,0,0,0,0,0,3,0
Greg Bright,0,1,0,0,0,0,0,0,0
Ken Callicutt,0,1,0,0,0,0,0,0,0
John Floyd,0,1,0,0,0,0,0,0,0
Jeff Groth,0,1,0,0,0,0,0,0,0
Bob Horn,0,1,0,0,0,0,0,0,0
Bobby Jones,0,1,0,0,0,0,0,1,0
Odis McKinney,0,1,0,0,0,0,0,0,0
Doug Plank,0,1,0,0,0,0,0,0,0
Reggie Williams,0,1,0,0,0,0,0,0,0
Rolland Lawrence,-2.3,3,-7,0,0,0,6,0,0
