Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Dolphins,570,2191,3.8,25,0,0,41,134,23.5,0
Rams,566,2125,3.8,16,0,0,23T,132,23.3,0
Raiders,561,2334,4.2,15,0,0,41,127,22.6,0
Steelers,546,2417,4.4,19,0,0,54,136,24.9,0
Bills,545,2094,3.8,11,0,0,41,118,21.6,0
Cowboys,542,2454,4.5,22,0,0,53,147,27.1,0
Patriots,520,2134,4.1,21,0,0,75,123,23.6,0
Chargers,508,2111,4.2,15,0,0,56T,113,22.2,0
Saints,503,1983,3.9,9,0,0,66,117,23.3,0
Vikings,488,1856,3.8,17,0,0,32,114,23.4,0
Broncos,486,2157,4.4,20,0,0,43T,120,24.7,0
Packers,482,1571,3.3,10,0,0,47,87,18,0
49ers,477,1981,4.2,10,0,0,71T,101,21.2,0
Redskins,470,1443,3.1,11,0,0,66,77,16.4,0
Chiefs,469,1720,3.7,10,0,0,47T,92,19.6,0
Cardinals,466,1956,4.2,12,0,0,75T,120,25.8,0
Browns,461,1924,4.2,14,0,0,54T,104,22.6,0
Colts,450,1818,4,13,0,0,39,110,24.4,0
Bengals,445,1978,4.4,14,0,0,29T,115,25.8,0
Jets,444,1625,3.7,12,0,0,34T,96,21.6,0
Giants,441,1496,3.4,11,0,0,53T,90,20.4,0
Bears,434,1480,3.4,10,0,0,31T,92,21.2,0
Oilers,421,1361,3.2,16,0,0,47,76,18,0
Eagles,415,1385,3.3,13,0,0,28T,79,19,0
Falcons,400,1493,3.7,6,0,0,34T,77,19.2,0
Lions,397,1433,3.6,13,0,0,27T,88,22.2,0
