Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Eagles,258,2531,9.8,14,0,0,64T,141,54.6,0
Redskins,254,2978,11.7,22,0,0,69,156,61.4,0
Vikings,234,2909,12.4,22,0,0,80,136,58.1,0
Bengals,224,2804,12.5,18,0,0,77,131,58.5,0
Colts,221,2424,11,9,0,0,57,109,49.3,0
Lions,216,2475,11.5,11,0,0,56,114,52.8,0
Chiefs,211,2421,11.5,11,0,0,84,113,53.6,0
Giants,207,2349,11.4,12,0,0,72,107,51.7,0
Cowboys,206,2856,13.9,14,0,0,58,129,62.6,0
Oilers,203,2275,11.2,12,0,0,65T,103,50.7,0
Cardinals,201,2492,12.4,20,0,0,81,117,58.2,0
Jets,194,2631,13.6,20,0,0,89,119,61.3,0
Packers,187,2162,11.6,5,0,0,68,108,57.8,0
Raiders,186,2561,13.8,28,0,0,67,137,73.7,0
Bears,185,2079,11.2,8,0,0,73,96,51.9,0
Saints,185,2037,11,10,0,0,79T,91,49.2,0
Broncos,184,2660,14.5,18,0,0,73,118,64.1,0
Browns,179,2129,11.9,12,0,0,60T,92,51.4,0
Patriots,177,2514,14.2,19,0,0,69,113,63.8,0
Dolphins,171,2313,13.5,18,0,0,54,118,69,0
49ers,170,2281,13.4,15,0,0,68,104,61.2,0
Rams,169,2368,14,16,0,0,50,112,66.3,0
Steelers,166,2154,13,12,0,0,61,98,59,0
Chargers,165,2479,15,12,0,0,75,117,70.9,0
Falcons,160,1781,11.1,4,0,0,52,86,53.8,0
Bills,128,1728,13.5,14,0,0,55,85,66.4,0
