Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Brandon Fields,50.2,41.2,3051,74,67,3715,29,6,5,9,11,43,484,1,0
Thomas Morstead,50.1,43.2,3196,74,70,3707,20,15,10,6,12,31,391,0,0
Chas Henry,48.5,38.2,612,16,62,776,2,0,1,0,1,14,164,0,0
Mike Scifres,48.3,42.1,3412,84,66,3914,30,5,14,7,15,40,362,0,3
Patrick McAfee,48.2,40.9,2985,74,64,3520,26,10,9,8,14,32,375,1,1
Andy Lee,48.2,43.2,2897,67,66,3226,36,2,7,4,18,36,249,1,0
Bryan Anger,47.8,41.3,3758,92,73,4353,31,6,11,5,29,40,495,2,1
Brett Kern,47.6,41.4,3350,83,71,3855,30,13,9,5,15,39,405,0,2
Steve Weatherford,47.5,39.4,2284,58,68,2757,22,4,5,6,5,38,353,0,0
Matt Bosher,47.4,42.1,2526,62,63,2847,22,3,4,4,23,26,241,0,2
Shane Lechler,47.2,39.5,3196,82,68,3826,21,4,7,9,16,45,450,0,1
Donnie Jones,47.2,40.5,3567,88,66,4150,28,10,10,5,15,48,483,1,0
Sam Koch,47.1,40.8,3388,83,60,3911,28,8,6,7,13,49,383,0,0
Dustin Colquitt,46.8,40.8,3385,83,71,3887,45,8,19,7,22,27,362,2,0
Kevin Huber,46.6,42,3190,76,69,3540,33,9,19,7,14,27,210,0,0
Mat McBriar,46.6,37.1,2042,56,66,2560,13,5,3,7,14,26,378,1,1
Dave Zastudil,46.5,41.4,4634,112,70,5209,46,7,13,8,36,48,415,0,0
Britton Colquitt,46.3,42.1,2822,67,67,3105,27,3,10,4,17,33,203,0,0
Robert Malone,45.8,39.4,3313,86,61,3848,27,11,10,8,24,31,375,1,2
Johnny Hekker,45.8,39.9,3274,82,68,3756,22,19,6,4,12,41,402,0,0
Jon Ryan,45.6,40.8,2651,65,73,2963,30,9,7,3,17,29,252,0,0
Michael Koenen,45.3,37.9,2880,77,64,3440,22,8,6,6,16,40,440,0,1
Chris Jones,45.2,43.3,520,13,60,542,6,2,1,0,4,5,22,0,1
Chris Kluwe,45,39.7,2856,72,59,3237,18,4,13,2,12,41,341,0,0
Brian Moorman,44.8,37.6,2670,71,66,3179,24,17,7,4,11,32,429,2,0
Shawn Powell,44,38.1,2475,65,62,2860,23,15,7,2,14,27,345,1,0
Sav Rocca,43.9,38.3,2604,70,61,2984,22,3,4,3,19,39,320,0,2
Drew Butler,43.8,38.3,2948,78,79,3374,26,9,12,6,20,30,306,1,1
Tim Masthay,43.5,39.5,2764,71,65,3043,30,7,8,5,26,24,179,0,1
Zoltan Mesko,43.1,38.5,2311,61,62,2585,28,1,11,6,19,23,154,0,1
Brad Nortman,43,37,2809,77,63,3267,20,4,8,7,20,37,318,1,1
Adam Podlesh,42,39.4,3195,81,64,3399,34,7,18,6,25,25,84,0,0
Reggie Hodges,41.8,37.1,3343,90,58,3766,29,14,12,4,26,34,343,1,0
Nick Harris,41.5,37.6,2522,67,58,2783,21,7,8,1,23,28,241,1,0
Ben Graham,41.3,28.5,171,6,46,248,2,1,0,0,2,3,77,1,0
Jason Hanson,39.3,36,108,3,46,118,1,0,0,0,1,2,10,0,0
Nate Kaeding,35,15,15,1,35,35,0,0,0,1,0,0,0,0,0
Dan Carpenter,29,29,29,1,29,29,1,0,1,0,0,0,0,0,0
Ben Roethlisberger,26,26,26,1,26,26,1,0,1,0,0,0,0,0,0
