Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Blair Walsh,35,38,92.1,0/0,10/10,8/9,7/9,10/10,0/0,56,1
Matt Bryant,33,38,86.8,1/1,8/9,10/11,10/13,4/4,0/0,55,0
Lawrence Tynes,33,39,84.6,0/0,11/11,14/16,7/9,1/3,0/0,50,1
Jason Hanson,32,36,88.9,1/1,3/3,10/10,16/19,2/3,0/0,53,0
Shayne Graham,31,38,81.6,1/1,8/8,11/11,7/9,4/9,0/0,51,1
Sebastian Janikowski,31,34,91.2,1/1,9/9,10/10,5/5,6/7,0/2,57,0
Justin Tucker,30,33,90.9,0/0,8/8,8/8,10/13,4/4,0/0,56,0
David Akers,29,42,69,1/1,8/9,11/13,7/13,1/5,1/1,63,3
Dan Bailey,29,31,93.6,1/1,5/5,13/13,7/7,3/5,0/0,51,0
Phil Dawson,29,31,93.6,0/0,8/9,8/9,6/6,7/7,0/0,53,1
Stephen Gostkowski,29,35,82.9,0/0,8/8,10/12,9/13,2/2,0/0,53,0
Connor Barth,28,33,84.8,0/0,7/7,3/4,12/13,6/9,0/0,57,1
Ryan Succop,28,34,82.4,0/0,4/5,12/15,10/12,2/2,0/0,52,0
Shaun Suisham,28,31,90.3,0/0,7/8,8/8,12/12,1/3,0/0,52,0
Alex Henery,27,31,87.1,0/0,8/9,8/9,11/12,0/1,0/0,49,0
Matt Prater,26,32,81.2,1/1,7/7,10/11,5/9,3/4,0/0,53,0
Adam Vinatieri,26,33,78.8,1/1,8/8,4/7,9/10,4/7,0/0,53,2
Rob Bironas,25,31,80.6,0/0,6/6,13/13,5/10,1/2,0/0,53,1
Jay Feely,25,28,89.3,0/0,6/6,9/10,8/10,1/1,1/1,61,1
Josh Scobee,25,28,89.3,1/1,4/4,8/8,11/13,1/2,0/0,50,0
Steven Hauschka,24,27,88.9,1/1,7/7,10/10,5/5,1/3,0/1,52,1
Greg Zuerlein,23,31,74.2,1/1,4/4,4/6,7/7,6/11,1/2,60,0
Dan Carpenter,22,27,81.5,0/0,3/3,9/9,8/10,2/5,0/0,53,0
Mason Crosby,21,33,63.6,0/0,5/5,5/7,9/12,2/9,0/0,54,0
Nick Folk,21,27,77.8,0/0,7/8,6/8,5/7,3/4,0/0,54,3
Robbie Gould,21,25,84,0/0,7/7,5/7,7/9,2/2,0/0,54,2
Rian Lindell,21,24,87.5,1/1,3/3,10/11,6/7,1/2,0/0,50,0
Mike Nugent,19,23,82.6,2/2,5/5,5/5,6/9,1/2,0/0,55,0
Garrett Hartley,18,22,81.8,0/0,9/9,4/6,2/3,3/4,0/0,53,0
Nick Novak,18,20,90,1/1,5/5,6/6,4/4,2/4,0/0,51,0
Kai Forbath,17,18,94.4,0/0,3/3,2/3,11/11,1/1,0/0,50,0
Josh Brown,11,12,91.7,0/0,3/3,4/4,3/3,1/2,0/0,52,0
Graham Gano,9,11,81.8,0/0,3/3,3/3,2/3,1/2,0/0,51,0
Nate Kaeding,8,10,80,1/1,3/3,0/0,4/6,0/0,0/0,45,1
Billy Cundiff,7,12,58.3,0/0,1/1,3/5,3/4,0/1,0/1,45,0
Justin Medlock,7,10,70,0/0,2/2,3/3,2/4,0/1,0/0,45,1
Olindo Mare,6,8,75,0/0,2/3,3/3,1/2,0/0,0/0,40,1
