Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Travis Benjamin,49.7,3,149,1,2,2,93,1,0
Armanti Edwards,38.5,2,77,0,1,1,69,2,0
Jeremy Ross,25.8,4,103,0,2,1,58,1,0
Terrance Copper,25,1,25,0,1,0,25,0,0
Steve Breaston,21,1,21,0,1,0,21,0,1
Richard Crawford,19.5,8,156,0,3,1,64,2,0
Leodis McKelvin,18.7,23,431,2,7,2,88,14,0
Dwayne Harris,16.1,22,354,1,7,1,78,11,0
Julian Edelman,15.5,17,263,1,4,2,68,1,0
Micheal Spurlock,14.1,17,239,1,5,1,63,16,1
Tandon Doss,13.2,4,53,0,1,1,40,4,0
Darius Reynaud,13.2,31,410,2,4,2,81,17,1
Kyle Williams,13,4,52,0,1,0,20,6,0
Marcus Thigpen,12.2,26,316,1,4,1,72,6,1
Keshawn Martin,12.1,22,267,0,4,2,71,10,1
Josh Cribbs,12,38,457,0,7,1,60,8,4
Adam Jones,11.6,26,301,1,3,2,81,0,0
Joe Adams,11.6,11,127,0,1,0,21,11,3
T.Y. Hilton,11.5,26,300,1,1,1,75,18,0
Damaris Johnson,11.2,26,291,1,2,1,98,23,2
Eric Decker,11,2,22,0,0,0,13,0,0
Jeremy Kerley,11,19,208,1,2,1,68,36,2
Emmanuel Sanders,10.3,9,93,0,1,1,63,9,1
Trindon Holliday,10.2,47,481,1,7,2,76,10,5
Ted Ginn,10.2,32,326,0,4,0,38,12,3
Roscoe Parrish,9.9,30,298,0,4,0,39,15,1
Wes Welker,9.7,25,243,0,2,0,31,7,1
Randall Cobb,9.4,31,292,1,2,1,75,21,3
Jacoby Jones,9.2,37,341,1,2,1,63,16,2
Quan Cosby,9.2,5,46,0,0,0,15,4,0
Stefan Logan,9.1,33,300,0,4,1,48,23,6
Antoine Cason,9,1,9,0,0,0,9,2,0
Lardarius Webb,9,1,9,0,0,0,9,5,0
Marcus Sherels,9,32,287,1,2,1,77,27,1
Javier Arenas,8.9,34,303,0,4,0,27,4,2
Brandon Tate,8.9,21,187,0,2,0,32,11,2
Leon Washington,8.7,41,356,0,5,1,52,17,1
Harry Douglas,8.4,5,42,0,0,0,11,1,0
Patrick Peterson,8.4,51,426,0,4,0,26,14,6
Devin Hester,8.3,40,331,0,5,1,44,6,0
Darren Sproles,8,23,183,0,3,0,37,14,0
Dominique Franks,7.8,21,163,0,2,0,28,18,0
Davone Bess,7.5,4,30,0,0,0,11,18,0
Mardy Gilyard,7.5,2,15,0,0,0,11,3,0
Kyle Wilson,7.5,4,30,0,0,0,19,2,1
Domenik Hixon,7.2,5,36,0,0,0,10,4,0
Rueben Randle,7.2,15,108,0,0,0,18,15,1
Danny Amendola,7.2,17,122,0,1,0,22,10,1
Brandon Boykin,7,1,7,0,0,0,7,0,0
Austin Pettis,7,11,77,0,1,0,23,9,0
Eric Weddle,6.9,7,48,0,1,0,20,1,3
Brandon Banks,6.8,26,178,0,2,0,27,5,3
Antonio Brown,6.8,27,183,0,4,0,29,8,2
Jordan Shipley,6.5,13,85,0,0,0,15,2,1
Mike Thomas,6.2,9,56,0,0,0,18,4,1
LaVon Brazill,6,2,12,0,0,0,8,1,0
Jim Leonhard,5.9,15,89,0,0,0,16,16,1
Phillip Adams,5.6,25,139,0,2,1,47,9,2
Dez Bryant,5.5,12,66,0,1,1,44,2,2
Chris Carr,5.5,2,11,0,0,0,11,5,0
Chris Rainey,5.3,3,16,0,0,0,13,0,1
Aaron Ross,5.3,3,16,0,0,0,6,3,0
Eddie Royal,5.3,12,64,0,0,0,14,2,1
Sammie Stroughter,5.3,3,16,0,0,0,13,3,0
Devon Wylie,5.2,5,26,0,0,0,13,2,0
Captain Munnerlyn,5.1,14,72,0,1,0,20,5,1
Janoris Jenkins,5.1,9,46,0,0,0,14,1,3
Lance Moore,5,1,5,0,0,0,5,3,0
Andre Roberts,5,3,15,0,0,0,10,0,0
Justin Rogers,4.7,3,14,0,0,0,14,4,1
David Gilreath,4,2,8,0,0,0,5,2,0
Denarius Moore,3.6,9,32,0,0,0,19,4,2
Dexter McCluster,3,2,6,0,0,0,6,2,1
Earl Bennett,2,1,2,0,0,0,2,1,0
Travaris Cadet,2,1,2,0,0,0,2,2,0
Maurice Jones-Drew,2,2,4,0,0,0,4,0,1
Alphonso Smith,2,1,2,0,0,0,2,0,0
Ed Reed,1,1,1,0,0,0,1,1,0
Josh Wilson,1,1,1,0,0,0,1,0,0
Zack Bowman,0,1,0,0,0,0,0,0,1
DeAngelo Hall,0,1,0,0,0,0,0,0,1
Reshad Jones,0,1,0,0,0,0,0,0,1
D.J. Moore,0,1,0,0,0,0,0,0,1
Sam Shields,0,1,0,0,0,0,0,0,1
Eric Weems,0,1,0,0,0,0,0,1,1
Brandon Browner,-1,1,-1,0,0,0,-1,0,0
DeSean Jackson,-3,1,-3,0,0,0,-3,0,0
