Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Chiefs,14.8,40,592,2,8,3,95,8,3
Eagles,13,19,246,0,3,2,66,13,1
Lions,12.3,20,246,2,3,2,85T,16,2
Redskins,11.9,29,344,1,4,2,85,16,1
Falcons,11.4,24,273,0,2,2,73,21,0
Bills,11.2,28,314,0,8,1,43T,17,0
Texans,11,39,427,1,3,2,67T,29,3
Vikings,10.4,34,354,2,5,2,79T,22,3
Saints,9.6,23,221,0,4,1,59T,17,3
49ers,9.4,23,216,0,5,0,33T,36,4
Raiders,9.3,41,380,0,3,1,47,13,0
Buccaneers,9.2,29,266,0,2,0,25,22,3
Dolphins,9.1,36,328,1,2,1,74T,18,5
Packers,9,26,235,0,4,1,55T,21,4
Broncos,8.5,37,316,0,3,0,25,26,5
Steelers,8.4,22,185,0,2,0,33,19,2
Seahawks,8.3,30,249,0,3,1,62,28,0
Colts,8.3,22,182,0,3,0,30,22,2
Bears,8,27,215,1,2,1,65T,27,2
Titans,7.9,30,236,0,0,0,18,22,2
Ravens,7.7,32,246,0,2,0,28,21,4
Rams,7.5,49,369,0,4,1,47,19,3
Cowboys,7.1,28,198,0,2,0,39,15,1
Panthers,7,29,202,0,0,0,19,24,2
Patriots,6.9,45,309,0,2,0,30,18,7
Browns,6.7,30,200,0,0,0,18T,13,1
Chargers,6.6,32,212,0,2,0,21,12,2
Bengals,6.5,38,246,0,1,0,24,19,6
Giants,6.1,45,275,0,0,0,19,17,5
Cardinals,6,38,230,0,1,0,32,24,2
Jets,5.5,27,149,0,1,0,27,28,4
Jaguars,5.5,40,220,0,1,1,42,24,6
