Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Ravens,38,39,97.4,0_0,4_4,11_10,14_14,10_10,0_0,57,1
Texans,35,41,85.4,1_1,12_12,11_11,11_8,6_3,0_0,53,0
Eagles,35,41,85.4,0_0,12_12,12_12,11_7,6_4,0_0,55,1
Falcons,34,37,91.9,0_0,12_12,8_7,9_9,8_6,0_0,59,1
Redskins,34,42,81,0_0,12_12,14_12,9_7,7_3,0_0,53,0
Seahawks,33,37,89.2,0_0,13_11,13_13,10_8,1_1,0_0,53,1
Lions,31,36,86.1,0_0,10_10,5_4,14_10,7_7,0_0,58,0
Chiefs,31,35,88.6,0_0,9_8,17_15,7_6,2_2,0_0,54,0
Panthers,30,38,79,0_0,4_4,11_9,17_14,6_3,0_0,54,0
Broncos,29,34,85.3,0_0,9_9,10_10,9_7,5_3,1_0,55,0
Raiders,29,35,82.9,1_1,9_9,6_6,11_10,8_3,0_0,56,0
Bengals,28,35,80,0_0,13_13,10_9,9_6,3_0,0_0,47,0
Saints,28,34,82.4,1_1,7_7,11_9,8_8,6_3,1_0,57,2
Cowboys,27,32,84.4,0_0,9_9,8_8,9_7,6_3,0_0,56,0
Colts,27,31,87.1,0_0,3_3,7_7,12_10,9_7,0_0,54,0
Jaguars,27,34,79.4,0_0,7_7,4_3,11_10,11_7,1_0,56,2
Vikings,27,31,87.1,1_1,6_6,11_10,10_8,3_2,0_0,51,1
Patriots,27,32,84.4,0_0,9_9,9_7,10_9,4_2,0_0,53,0
Jets,27,31,87.1,0_0,13_12,11_10,3_3,4_2,0_0,51,3
Packers,26,30,86.7,1_1,6_6,15_13,6_5,2_1,0_0,53,1
Chargers,26,32,81.2,0_0,7_7,14_13,8_6,3_0,0_0,47,1
Steelers,24,28,85.7,0_0,2_2,11_10,13_12,2_0,0_0,49,1
Titans,22,24,91.7,1_1,4_4,6_6,8_8,5_3,0_0,53,0
Buccaneers,22,31,71,0_0,5_5,15_13,10_4,1_0,0_0,43,1
Browns,21,27,77.8,0_0,6_6,7_7,12_7,2_1,0_0,51,0
Giants,21,22,95.4,1_1,6_6,6_6,8_8,1_0,0_0,48,0
Cardinals,21,28,75,1_1,6_5,7_6,8_6,5_2,1_1,60,1
Bills,19,25,76,1_1,8_8,5_5,9_4,2_1,0_0,54,0
Rams,19,22,86.4,0_0,5_5,9_9,4_3,4_2,0_0,54,0
Bears,18,23,78.3,0_0,8_7,8_7,4_3,3_1,0_0,54,1
49ers,18,21,85.7,0_0,4_4,6_6,9_7,2_1,0_0,53,0
Dolphins,16,21,76.2,0_0,10_8,6_6,3_1,2_1,0_0,55,2
