Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Rams,46,4508,98,47.8,78,4680,51,11,11,1,40,35,152,0,0
Lions,44.2,2740,62,48.6,63,3010,23,3,7,3,14,35,210,0,0
Colts,43.5,2392,55,49.3,74,2711,19,7,5,9,17,17,139,0,1
Buccaneers,42.7,2987,70,45.9,59,3215,37,3,9,5,29,24,128,0,0
Saints,42.4,2414,57,48.3,66,2751,22,8,8,5,7,29,237,0,0
Falcons,41.7,2002,48,46.7,68,2243,21,1,5,1,18,23,221,0,0
Patriots,41.4,2983,72,44.7,57,3217,23,7,14,5,19,27,134,0,0
Raiders,41.4,3352,81,48.6,72,3937,34,11,13,9,15,33,405,1,0
Broncos,41.3,3677,89,45.7,68,4068,28,6,12,6,25,40,271,0,0
Cowboys,41.2,2389,58,45.9,66,2661,25,10,5,4,17,22,192,0,1
Giants,40.9,3807,93,46.2,63,4297,28,12,20,8,16,37,330,0,0
Steelers,40.8,2771,68,45.6,64,3100,25,11,9,3,17,28,269,0,1
Eagles,40.7,2566,63,45.8,72,2888,21,6,11,6,15,25,202,1,0
Chiefs,40.7,3090,76,45.1,64,3427,38,4,6,9,27,30,157,0,0
Browns,40.3,3345,83,45.3,65,3761,22,4,9,2,23,45,376,0,0
Texans,40.1,2886,72,47.5,62,3423,30,5,3,3,13,48,477,1,0
Dolphins,39.9,3591,90,44.3,66,3991,32,7,15,5,26,37,300,0,0
Ravens,39.9,3190,80,45.8,68,3665,37,18,10,5,14,33,375,1,0
Seahawks,39.9,2830,71,44,64,3126,26,7,11,3,22,28,236,0,1
Chargers,39.8,2349,59,46.3,69,2731,18,5,6,5,10,33,282,1,0
49ers,39.8,3977,100,44,65,4402,28,4,11,4,41,40,345,0,0
Bengals,39.5,3084,78,46.3,72,3613,23,4,8,8,20,38,369,0,0
Jaguars,39.5,3040,77,46.6,78,3589,27,5,14,8,19,31,389,1,0
Packers,39.1,2189,56,43.2,65,2420,19,11,7,4,18,16,151,0,0
Vikings,39,2886,74,42.6,72,3155,34,3,14,3,28,26,209,0,0
Redskins,38.9,1907,49,45.1,61,2209,15,7,4,4,7,27,222,0,0
Panthers,38.6,2937,76,45.8,76,3480,31,1,14,8,13,40,383,1,0
Titans,38.6,2975,77,44.2,71,3402,32,4,6,4,27,36,347,2,0
Bears,38.4,2612,68,44,67,2994,24,5,5,5,31,22,282,1,0
Bills,38.2,2861,75,42.4,58,3183,20,18,7,3,8,39,262,0,0
Jets,37.8,2837,75,43.2,59,3236,24,6,8,4,22,35,319,0,1
Cardinals,37.4,2919,78,41.9,62,3269,25,4,10,2,29,33,310,0,2
