Team,INT,INT TD,INT Yds,Lng
Niners,23,2,315,73
Browns,21,2,333,62
Bengals,20,1,161,31T
Lions,20,1,388,70T
Texans,20,4,483,80
Bills,19,0,322,45
Cowboys,18,2,228,58
Broncos,18,2,213,38
Packers,18,3,396,82
Cardinals,18,3,321,88
Giants,17,0,236,39
Falcons,16,1,113,23T
Patriots,16,0,184,60
Panthers,14,2,350,84
Bears,14,1,141,45
Dolphins,14,2,299,81
Buccaneers,14,3,155,33
Rams,13,3,276,99
Vikings,13,2,201,81
Seahawks,13,2,319,53
Titans,12,1,122,34
Colts,12,1,143,47
Saints,12,0,120,45
Eagles,12,2,145,53
Ravens,11,1,135,44
Steelers,11,4,242,52
Raiders,9,0,76,30
Chargers,7,0,65,27
Redskins,7,0,38,14
Jaguars,6,1,80,55
Chiefs,6,1,95,39T
Jets,6,0,36,25T
