Team,Rsh TD,Rec TD,Tot TD,2-PT
Seahawks,29,25,56,0
Chiefs,26,17,45,0
Broncos,25,18,46,0
Chargers,22,27,51,0
Steelers,21,21,44,0
Colts,18,31,51,0
Jaguars,18,21,42,1
Falcons,17,19,37,0
Panthers,17,25,44,0
Giants,17,24,44,1
Patriots,16,28,46,1
Bengals,15,32,48,0
Redskins,15,25,43,0
Cowboys,13,23,38,0
Rams,13,23,40,1
Buccaneers,13,17,30,1
Bears,11,11,28,0
Packers,11,20,34,0
Raiders,11,21,32,1
Dolphins,11,22,33,0
Eagles,11,21,34,0
Lions,10,15,27,0
Vikings,10,18,33,0
Jets,10,11,24,0
Texans,9,15,26,0
49ers,9,8,22,0
Titans,8,20,31,0
Saints,8,15,23,0
Bills,6,18,26,0
Ravens,5,17,23,1
Browns,4,15,22,0
Cardinals,2,21,26,2
