Player,INT,INT TD,INT Yds,Lng
Brian Kelly,8,0,68,31
Rod Woodson,8,2,225,98
Tony Parrish,7,0,204,60
Darren Sharper,7,1,233,89
Nate Clements,6,1,82,42
Marlon McCree,6,0,129,53
Lance Schulters,6,0,56,28
Patrick Surtain,6,1,79,40
Greg Wesley,6,0,170,50
Derrick Brooks,5,3,218,97
Donnie Edwards,5,1,95,46
Aaron Glenn,5,2,181,70
Sammy Knight,5,0,36,17
Brock Marion,5,0,99,62
Deltha O'Neal,5,2,70,28
Ed Reed,5,0,167,59
Derek Ross,5,0,17,12
Bobby Taylor,5,1,43,23
Fred Thomas,5,0,80,43
Reggie Tongue,5,1,118,46
Roy Williams,5,2,90,85
Donnie Abraham,4,0,49,23
Brent Alexander,4,0,37,25
Marques Anderson,4,2,114,78
Greg Biekert,4,0,26,20
Juran Bolden,4,0,25,22
Terrell Buckley,4,0,50,39
Keion Carpenter,4,1,82,41
Ronnie Heard,4,0,60,30
Tory James,4,0,35,27
Ty Law,4,0,33,29
Earl Little,4,0,17,7
Mike Minter,4,1,125,62
Joey Porter,4,0,153,84
Dwight Smith,4,0,39,35
Fred Smoot,4,0,12,12
Eric Warfield,4,0,30,19
Adrian Wilson,4,0,35,35
Ashley Ambrose,3,0,25,24
Champ Bailey,3,0,2,2
David Barrett,3,0,40,22
Jay Bellamy,3,0,39,16
Zack Bronson,3,0,28,20
Mike Brown,3,0,16,16
Corey Chavous,3,1,76,43
Chris Claiborne,3,1,63,43
Jason Craft,3,0,0,0
Andre Dyson,3,1,27,16
Deon Grant,3,0,16,10
Robert Griffith,3,0,0,0
Kim Herring,3,0,38,36
Dexter Jackson,3,0,101,58
Ken Lucas,3,0,67,40
John Lynch,3,0,0,0
Sam Madison,3,0,15,15
Mike Maslowski,3,0,28,25
Kevin Mathis,3,0,21,13
Anthony Mitchell,3,0,62,32
Alex Molden,3,0,9,8
Ifeanyi Ohalete,3,1,109,78
Mike Peterson,3,0,96,53
Peter Sirmon,3,1,88,32
Shawn Springs,3,0,0,0
Deshea Townsend,3,0,3,2
James Trapp,3,0,26,11
Dewayne Washington,3,0,51,28
Nate Wayne,3,0,32,25
Chad Williams,3,1,98,98
Reggie Austin,2,0,0,0
Ronde Barber,2,0,9,9
Shawn Barber,2,1,81,80
Eric Barton,2,0,5,3
Idrees Bashir,2,0,4,4
Aaron Beasley,2,0,29,24
Dre' Bly,2,0,0,0
Jack Brewer,2,0,24,23
Keith Brooking,2,0,24,22
Eric Brown,2,0,7,7
Sheldon Brown,2,0,41,29
Tedy Bruschi,2,2,75,48
Ray Buchanan,2,0,9,9
Phillip Buchanon,2,1,81,81
Terry Cousin,2,0,4,4
Ray Crockett,2,0,0,0
James Darling,2,0,38,38
Brian Dawkins,2,0,27,27
Na'il Diggs,2,0,62,33
Chris Draft,2,0,12,9
Mario Edwards,2,0,29,29
Travis Fisher,2,0,0,0
Jamar Fletcher,2,0,30,30
Lee Flowers,2,0,31,25
Sam Garnes,2,0,65,65
Bernardo Harris,2,0,11,11
Walt Harris,2,0,0,0
Rodney Harrison,2,0,2,2
Artrell Hawkins,2,1,102,102
Anthony Henry,2,0,4,4
Renaldo Hill,2,0,4,3
Reggie Howard,2,0,19,13
Ken Irvin,2,0,10,10
Kevin Kaesviharn,2,0,17,17
Kwamie Lassiter,2,0,7,7
Ray Lewis,2,0,4,4
Justin Lucas,2,2,80,38
Todd Lyght,2,0,31,31
Keith Lyle,2,0,26,26
Gerald McBurrows,2,0,36,19
Emmanuel McDaniel,2,0,13,13
Mike McKenzie,2,0,0,0
Dan Morgan,2,0,26,22
Marvcus Patton,2,0,29,25
William James,2,0,1,1
Shelton Quarles,2,1,29,25
Damien Robinson,2,0,12,12
Derrick Rodgers,2,0,28,21
Samari Rolle,2,0,0,0
Warren Sapp,2,0,0,0
Chad Scott,2,1,30,30
Jason Sehorn,2,1,31,31
Terrance Shaw,2,0,-2,3
Anthony Simmons,2,0,19,15
Darrin Smith,2,0,21,17
Otis Smith,2,0,21,22
Duane Starks,2,0,3,3
David Terrell,2,0,41,22
Adalius Thomas,2,1,57,32
Troy Vincent,2,0,1,1
Shaun Williams,2,0,-2,-2
James Allen,1,1,0,0
Will Allen,1,0,0,0
Adam Archuleta,1,0,2,2
Trace Armstrong,1,0,0,0
Akin Ayodele,1,0,22,22
Ainsley Battles,1,0,6,6
Gary Baxter,1,0,0,0
Jason Belser,1,0,45,45
Peter Boulware,1,0,6,6
Matt Bowen,1,0,0,0
Brant Boyer,1,0,1,1
Ronnie Bradford,1,0,20,20
Ahmad Brooks,1,0,13,13
Ralph Brown,1,0,19,19
Fernando Bryant,1,0,26,26
Keith Bulluck,1,0,5,5
Jeff Burris,1,0,5,5
Dale Carter,1,0,25,25
Tyrone Carter,1,0,13,13
Johndale Carty,1,0,37,37
Chris Cash,1,0,11,11
Danny Clark,1,0,7,7
Rich Coady,1,1,24,24
Dexter Coakley,1,1,52,52
Antonio Cochran,1,0,9,9
Marcus Coleman,1,0,0,0
Donovin Darius,1,0,3,3
Andra Davis,1,0,0,0
Don Davis,1,0,29,29
Eric Davis,1,0,14,14
Will Demps,1,0,18,18
Tony Dixon,1,0,0,0
Greg Ellis,1,0,0,0
Doug Evans,1,0,0,0
Mark Fields,1,0,37,30
Vernon Fox,1,0,25,25
Corey Fuller,1,0,0,0
Curtis Fuller,1,0,3,3
Kabeer Gbaja-Biamila,1,1,72,72
David Gibson,1,0,0,0
Oliver Gibson,1,0,6,6
La'Roi Glover,1,0,7,7
Jeff Gooch,1,0,3,3
Andre' Goodman,1,0,2,2
Victor Green,1,1,90,90
Jermaine Haley,1,0,0,0
Cory Hall,1,0,2,2
Darren Hambrick,1,0,6,6
Bobby Hamilton,1,0,0,0
Al Harris,1,0,0,0
Corey Harris,1,0,49,49
Johnnie Harris,1,0,11,11
Duane Hawthorne,1,0,15,15
